instance family sat lad snd vf2 sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
si4_b06m_m800.07 4 1 081 30965 11 373 389 344 32 1056 62
si4_b06m_m800.03 4 1 088 28330 11 498 499 491 35 1019 76
si4_b06m_m800.02 4 1 084 31069 11 329 302 307 40 927 54
si6_m4Dr2_m625.08 6 1 296 27679 8 193 195 188 35 1768 48
si6_m4Dr2_m625.09 6 1 324 30863 8 193 193 184 34 1529 50
si6_m4Dr2_m625.05 6 1 533 46715 8 197 205 197 47 1906 49
si6_m4Dr2_m625.01 6 1 061 30504 9 336 337 326 32 1110 64
si6_m4Dr2_m625.06 6 1 074 25368 8 351 420 309 37 1397 56
si6_m4Dr2_m625.00 6 1 069 37554 8 317 280 255 32 1415 56
si6_m4Dr2_m625.03 6 1 067 29967 8 291 321 288 47 1522 55
si6_m4Dr2_m625.02 6 1 470 37006 8 195 197 190 44 1478 47
si6_m4Dr2_m625.07 6 1 070 29412 8 350 305 366 45 1421 56
si6_m4Dr2_m625.04 6 1 378 42323 8 379 371 363 43 2177 56
si2_m4D_m1296.01 5 1 4052 126407 23 403 427 405 74 24499 208
si2_m4D_m1296.08 5 1 668 64543 24 908 762 795 80 2284 111
si2_m4D_m1296.06 5 1 3214 236747 23 621 654 549 467 685372 183
si2_m4D_m1296.05 5 1 777 70664 24 417 415 446 84 2016 149
si2_m4D_m1296.09 5 1 1515 81618 24 642 637 631 75 3383 129
si2_m4D_m1296.03 5 1 2704 75627 23 430 481 443 74 7118 209
si2_m4D_m1296.07 5 1 906 76375 25 447 423 456 62 2117 124
si2_m4D_m1296.02 5 1 1261 65794 26 936 943 1038 65 2771 217
si2_m4D_m1296.04 5 1 1179 57020 25 703 731 710 85 2221 195
si2_m4D_m1296.00 5 1 573 52559 26 550 551 543 150 1581 118
si4_b03_m800.05 3 1 1706 14951 7 166 154 175 49 49449 290
si4_b03_m800.00 3 1 1773 19695 7 168 147 175 31 48672 300
si4_b03_m800.08 3 1 1746 15958 7 167 150 157 40 47978 286
si4_b03_m800.09 3 1 1804 16779 8 201 149 151 33 45509 297
si4_b03_m800.03 3 1 2289 15320 7 154 149 184 31 48751 276
si4_b03_m800.02 3 1 1874 21626 7 150 147 153 32 47869 294
si4_b03_m800.04 3 1 1726 15971 8 155 167 146 31 48845 296
si4_b03_m800.01 3 1 2043 15736 7 207 167 150 52 48017 279
si4_b03_m800.06 3 1 2342 18415 10 224 153 148 51 45754 278
si4_b03_m800.07 3 1 1774 14989 7 150 147 146 31 49437 286
si6_m4D_m1296.02 5 1 2930 389050 40 799 654 565 204 33326 194
si6_m4D_m1296.07 5 1 10964 723974 1e8 853 822 808 339 249454 434
si6_m4D_m1296.05 5 1 2897 425462 33 609 633 614 142 41266 188
si6_m4D_m1296.09 5 1 9519 784215 1e8 867 923 825 256 406040 474
si6_m4D_m1296.00 5 1 281012 1261539 1e8 803598 772038 574713 1238633 1733414075 574
si6_m4D_m1296.08 5 1 3157 416936 43 746 619 569 144 34121 185
si6_m4D_m1296.04 5 1 2848 459779 32 587 585 558 164 23197 178
si6_m4D_m1296.06 5 1 11498 1088020 1e8 1847 1903 1395 2047 3722925 508
si6_m4D_m1296.01 5 1 10626 756044 1e8 1321 1219 1338 616 1566565 538
si6_m4D_m1296.03 5 1 17675 1090836 1e8 6841 7458 4547 18051 9894728 761
si6_r001_m200.05 7 1 042 2309 53435947 23 23 22 46 153 10
si6_r001_m200.09 7 1 039 2450 5617375 16 15 17 5 208 10
si6_r001_m200.07 7 1 004 1508 1e8 14 13 15 3 85 11
si6_r001_m200.02 7 1 028 1829 870458 16 23 16 4 128 11
si6_r001_m200.01 7 1 017 1504 32173114 14 14 14 2 107 10
si6_r001_m200.00 7 1 011 1618 1e8 14 22 13 2 102 10
si6_r001_m200.04 7 1 022 1707 16043334 23 24 22 4 148 10
si6_r001_m200.06 7 1 010 1402 1e8 14 14 14 2 100 11
si6_r001_m200.08 7 1 006 1949 74999718 26 27 41 3 119 12
si6_r001_m200.03 7 1 031 1824 1e8 16 15 14 4 110 11
si4_b06_m400.06 3 1 474 4272 2 170 107 107 9 3933 72
si4_b06_m400.07 3 1 532 4385 2 109 107 107 9 4743 71
si4_b06_m400.09 3 1 479 4007 2 108 107 108 9 5839 68
si4_b06_m400.01 3 1 503 3951 4 146 111 115 15 4230 76
si4_b06_m400.04 3 1 478 4335 3 113 120 108 11 4035 74
si4_b06_m400.03 3 1 480 4262 2 109 108 114 9 4045 74
si4_b06_m400.00 3 1 694 4497 2 108 113 127 14 4074 72
si4_b06_m400.05 3 1 646 4072 2 127 110 109 15 3978 73
si4_b06_m400.08 3 1 486 4508 2 109 110 108 9 3984 78
si4_b06_m400.02 3 1 520 4635 2 138 108 110 11 4059 74
si2_m4Dr6_m256.06 6 1 024 1022 1 15 15 15 8 93 14
si2_m4Dr6_m256.05 6 1 026 1186 1 23 23 14 1 46 10
si2_m4Dr6_m256.09 6 1 040 1084 1 41 42 30 85 68 14
si2_m4Dr6_m256.00 6 1 023 1071 1 29 28 29 11 125 15
si2_m4Dr6_m256.07 6 1 017 892 1 16 21 15 1 37 11
si2_m4Dr6_m256.04 6 1 038 1427 1 26 27 27 5 67 15
si2_m4Dr6_m256.02 6 1 034 1006 2 23 18 17 13 67 12
si2_m4Dr6_m256.01 6 1 018 1029 1 21 14 17 7 49 12
si2_m4Dr6_m256.08 6 1 050 1591 1 40 27 27 35 368 20
si2_m4Dr6_m256.03 6 1 029 1168 1 15 21 16 6 40 12
si6_r01_m200.04 7 1 1357 4628 1e8 470 614 655 83 12853 127
si6_r01_m200.08 7 1 3477 6814 1e8 399 381 450 30 2784 126
si6_r01_m200.02 7 1 30169 25832 1e8 428 420 457 51 11332 141
si6_r01_m200.09 7 1 13595 84444 1e8 1267 1253 1847 638 236652 247
si6_r01_m200.07 7 1 8414 10454 1e8 388 384 432 26 6476 127
si6_r01_m200.00 7 1 18056 32589 1e8 561 549 975 147 52041 186
si6_r01_m200.01 7 1 97509 6261 1e8 1452 1436 1207 884 292639 251
si6_r01_m200.03 7 1 59720 41559 1e8 477 467 560 97 23884 284
si6_r01_m200.05 7 1 65967 21602 1e8 1271 1268 1028 785 387433 213
si6_r01_m200.06 7 1 40179 28855 1e8 658 639 628 208 96103 159
si2_b03m_m800.03 4 1 029 11171 7 55 58 74 13 258 34
si2_b03m_m800.02 4 1 024 14157 7 70 72 71 20 438 35
si2_b03m_m800.09 4 1 029 10991 6 106 103 103 19 301 42
si2_b03m_m800.04 4 1 031 11543 9 106 106 104 21 718 40
si2_b03m_m800.06 4 1 024 11027 7 155 162 158 17 396 48
si2_b03m_m800.05 4 1 029 11023 8 162 205 159 26 355 51
si2_b03m_m800.01 4 1 041 11357 9 114 107 118 24 271 43
si2_b03m_m800.08 4 1 029 10447 6 89 68 71 21 431 36
si2_b03m_m800.07 4 1 028 11625 6 55 56 60 32 216 34
si2_b03m_m800.00 4 1 027 12056 6 68 67 67 13 346 35
si2_r001_m200.06 7 1 011 679 12743894 5 5 5 99089 40 11
si2_r001_m200.01 7 1 012 734 1e8 10 9 10 262 107 11
si2_r001_m200.02 7 1 015 1193 1e8 11 7 7 4176 513 15
si2_r001_m200.07 7 1 013 877 1412902 6 6 7 8 35 10
si2_r001_m200.04 7 1 010 681 3964451 6 5 6 21 89 14
si2_r001_m200.05 7 1 025 675 4775373 6 6 6 4656 111 11
si2_r001_m200.09 7 1 014 748 1e8 7 6 6 140025 41 13
si2_r001_m200.03 7 1 042 740 1e8 7 8 5 105018 113 9
si2_r001_m200.00 7 1 013 648 9530222 5 5 5 1 79 14
si2_r001_m200.08 7 1 019 737 1e8 9 6 6 40586637 111 11
si6_b03m_m800.01 4 1 080 46578 11 215 215 216 47 1384 73
si6_b03m_m800.08 4 1 104 35707 10 404 337 347 49 2057 86
si6_b03m_m800.03 4 1 072 34564 10 162 162 207 70 1832 67
si6_b03m_m800.00 4 1 086 40271 10 265 264 233 64 2833 75
si6_b03m_m800.04 4 1 081 42981 10 155 155 143 64 1673 67
si6_b03m_m800.05 4 1 078 37654 10 215 217 203 48 2480 74
si6_b03m_m800.07 4 1 074 42465 10 213 214 216 47 1559 73
si6_b03m_m800.06 4 1 111 37642 10 161 169 149 67 1658 68
si6_b03m_m800.09 4 1 068 38856 10 159 185 149 47 1546 69
si6_b03m_m800.02 4 1 070 38792 14 211 240 200 64 1584 74
si4_r005_m200.00 7 1 31445 21068 1e8 136 106 102 25 7670 40
si4_r005_m200.08 7 1 10172 10138 1e8 106 102 103 37 7151 31
si4_r005_m200.02 7 1 7118 8239 1e8 131 139 112 132 18995 30
si4_r005_m200.05 7 1 376 1877 1e8 102 101 121 10 907 32
si4_r005_m200.06 7 1 281 1598 1e8 108 120 108 18 2361 24
si4_r005_m200.04 7 1 34754 15033 1e8 118 119 107 46 15637 60
si4_r005_m200.07 7 1 13127 14999 1e8 138 132 116 83 28896 36
si4_r005_m200.09 7 1 3845 6348 1e8 122 174 107 51 19439 27
si4_r005_m200.01 7 1 10660 8892 1e8 110 97 107 8 687 42
