instance family sat lad snd vf2 sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
si2_m4Dr6_m625.08 6 1 220 14484 9 137 161 136 14 393 35
si2_m4Dr6_m625.07 6 1 265 9885 9 79 80 80 10 289 31
si2_m4Dr6_m625.03 6 1 198 12737 6 74 74 72 10 382 37
si2_m4Dr6_m625.04 6 1 102 15890 6 71 71 70 9 475 28
si2_m4Dr6_m625.05 6 1 296 9949 9 74 76 74 15 317 29
si2_m4Dr6_m625.09 6 1 192 13799 7 154 168 161 83 750 34
si2_m4Dr6_m625.01 6 1 148 14948 6 75 77 77 18 316 27
si2_m4Dr6_m625.02 6 1 355 32754 9 80 81 81 19 658 36
si2_m4Dr6_m625.00 6 1 025 7476 6 114 116 113 9 290 34
si6_b03_m800.02 3 1 3215 28010 13 232 221 220 53 105167 386
si6_b03_m800.04 3 1 3036 24662 13 230 221 276 66 104744 414
si6_b03_m800.03 3 1 2655 27013 8 226 221 216 53 106523 390
si6_b03_m800.05 3 1 2636 27797 14 225 221 216 52 103871 421
si6_b03_m800.06 3 1 4771 25369 12 227 221 217 54 124413 416
si6_b03_m800.01 3 1 5240 31647 12 226 221 221 53 112413 407
si6_b03_m800.00 3 1 2821 28808 13 327 321 241 74 100143 399
si6_b03_m800.07 3 1 2631 28937 14 228 221 218 53 120853 419
si6_b03_m800.09 3 1 2636 33171 14 231 222 228 53 107558 410
si6_b03_m800.08 3 1 2648 28508 13 228 222 217 57 105354 421
si4_m4D_m1296.09 5 1 1729 120034 28 1055 1063 1042 195 3650 155
si4_m4D_m1296.06 5 1 1792 143568 34 727 726 708 124 4698 138
si4_m4D_m1296.05 5 1 1993 132082 28 760 759 740 144 4255 138
si4_m4D_m1296.00 5 1 6980 620553 1e8 533 534 503 151 329104 352
si4_m4D_m1296.03 5 1 6611 430861 1e8 556 554 546 199 359051 376
si4_m4D_m1296.04 5 1 2422 143232 40 751 750 733 126 4287 139
si4_m4D_m1296.08 5 1 6585 479541 1e8 1e8 1e8 1e8 1e8 1e8 300
si4_m4D_m1296.02 5 1 6637 409593 1e8 723 622 585 295 414448 320
si4_m4D_m1296.01 5 1 1420 155652 40 758 758 740 132 4352 143
si4_m4D_m1296.07 5 1 1355 127545 35 738 738 1216 124 3931 151
si6_b03m_m400.03 4 1 031 5544 2 70 62 59 21 331 24
si6_b03m_m400.01 4 1 018 5417 2 84 77 81 9 336 28
si6_b03m_m400.09 4 1 030 5663 2 77 76 92 9 276 28
si6_b03m_m400.08 4 1 024 5495 3 106 75 73 9 363 28
si6_b03m_m400.07 4 1 022 5106 2 58 56 55 10 276 26
si6_b03m_m400.02 4 1 026 5258 4 39 41 38 14 298 21
si6_b03m_m400.05 4 1 016 5343 4 37 36 35 9 236 22
si6_b03m_m400.00 4 1 021 5340 2 41 41 41 11 267 21
si6_b03m_m400.06 4 1 027 5912 4 140 138 140 21 312 37
si6_b03m_m400.04 4 1 020 6250 4 90 55 53 13 453 24
si4_m4D_m256.07 5 1 050 1206 1 34 34 34 6 85 14
si4_m4D_m256.06 5 1 029 1224 1 35 35 34 4 131 17
si4_m4D_m256.05 5 1 045 1243 2 60 37 48 4 98 20
si4_m4D_m256.08 5 1 041 1941 1 39 38 38 5 226 22
si4_m4D_m256.04 5 1 084 2231 1 42 40 47 6 109 22
si4_m4D_m256.09 5 1 079 1645 2 64 63 40 9 186 26
si4_m4D_m256.02 5 1 041 1278 1 41 42 47 3 105 17
si4_m4D_m256.00 5 1 048 2007 1 41 40 42 6 151 25
si4_m4D_m256.03 5 1 070 1514 2 39 41 37 7 97 18
si4_m4D_m256.01 5 1 046 1286 2 49 38 42 4 102 23
si6_b06m_m800.07 4 1 120 49473 21 524 523 402 55 1659 73
si6_b06m_m800.04 4 1 202 63585 14 695 697 684 74 1755 92
si6_b06m_m800.01 4 1 148 56044 22 689 749 677 53 1761 92
si6_b06m_m800.00 4 1 122 49229 21 524 528 512 60 2728 85
si6_b06m_m800.05 4 1 216 51956 14 854 866 850 74 1875 102
si6_b06m_m800.08 4 1 165 47962 14 745 737 715 65 1707 99
si6_b06m_m800.09 4 1 123 55171 19 917 918 900 53 1960 109
si6_b06m_m800.02 4 1 125 51667 14 370 374 358 53 1440 76
si6_b06m_m800.03 4 1 213 49584 14 1070 803 809 82 1758 106
si6_b06m_m800.06 4 1 118 55347 21 595 574 376 53 1608 75
si4_r001_m400.08 7 1 4732 10955 1e8 103 103 100 33770439 7659 29
si4_r001_m400.06 7 1 566 13559 1e8 103 102 102 84148 468 20
si4_r001_m400.02 7 1 1031 7405 1e8 101 100 100 48 510 21
si4_r001_m400.00 7 1 985 7254 1e8 121 119 110 673 34175 31
si4_r001_m400.04 7 1 4584 10551 1e8 96 145 95 180155 1836 27
si4_r001_m400.03 7 1 7224 20970 1e8 106 129 103 37374 1062 21
si4_r001_m400.09 7 1 695 5497 1e8 103 114 150 1431 1311 21
si4_r001_m400.05 7 1 12086 35614 1e8 178 180 123 3756654 149182 51
si4_r001_m400.01 7 1 3567 11375 1e8 91 90 90 49146 1016 21
si4_r001_m400.07 7 1 4999 12634 1e8 107 100 100 19225 1348 22
si2_m4Dr6_m1296.00 6 1 1323 63707 30 304 304 330 75 3513 70
si2_m4Dr6_m1296.01 6 1 743 97016 28 531 520 526 62 3151 77
si2_m4Dr6_m1296.09 6 1 560 140326 28 644 498 526 44 1901 83
si2_m4Dr6_m1296.06 6 1 356 151158 28 327 247 244 41 1731 66
si2_m4Dr6_m1296.03 6 1 114 130418 29 487 487 492 62 1950 79
si2_m4Dr6_m1296.02 6 1 125 69766 29 303 304 384 43 2052 65
si2_m4Dr6_m1296.05 6 1 1526 88814 40 526 529 521 75 3591 79
si2_m4Dr6_m1296.08 6 1 314 104965 28 793 857 775 84 3496 90
si2_m4Dr6_m1296.04 6 1 1362 123482 28 317 317 314 136 2374 69
si2_m4Dr6_m1296.07 6 1 911 188718 41 292 293 289 72 2844 74
si2_b03_m800.07 3 1 827 9553 6 81 119 81 20 10898 130
si2_b03_m800.08 3 1 825 10575 6 81 82 86 19 10964 167
si2_b03_m800.04 3 1 826 9173 6 111 104 80 16 10447 160
si2_b03_m800.05 3 1 824 10192 10 81 79 81 16 10160 164
si2_b03_m800.09 3 1 1302 9910 10 82 80 80 18 10640 149
si2_b03_m800.00 3 1 828 7560 6 89 80 81 16 9881 143
si2_b03_m800.02 3 1 839 7431 10 81 110 80 16 11468 170
si2_b03_m800.03 3 1 829 10128 10 81 79 80 16 11187 143
si2_b03_m800.01 3 1 852 8716 6 82 80 87 16 10704 168
si2_b03_m800.06 3 1 907 7802 6 82 80 82 17 10591 156
si4_b03m_m200.05 4 1 003 651 0 13 13 13 3 37 10
si4_b03m_m200.02 4 1 002 818 0 13 12 12 2 30 13
si4_b03m_m200.04 4 1 003 718 0 7 6 6 1 28 11
si4_b03m_m200.07 4 1 004 632 1 7 7 7 2 29 10
si4_b03m_m200.00 4 1 005 704 0 29 29 17 2 34 20
si4_b03m_m200.06 4 1 004 687 1 9 9 11 2 25 14
si4_b03m_m200.03 4 1 004 644 0 14 14 13 2 56 10
si4_b03m_m200.09 4 1 002 705 1 24 20 19 1 60 19
si4_b03m_m200.08 4 1 003 734 0 25 24 15 2 34 17
si4_b03m_m200.01 4 1 004 694 1 18 23 19 2 41 16
si2_b06m_m200.04 4 1 006 612 0 17 19 17 1 32 11
si2_b06m_m200.03 4 1 005 716 1 16 17 19 1 41 11
si2_b06m_m200.08 4 1 005 627 0 10 9 9 1 20 10
si2_b06m_m200.06 4 1 004 616 1 49 44 46 1 81 22
si2_b06m_m200.05 4 1 004 628 0 7 7 8 1 15 8
si2_b06m_m200.02 4 1 004 645 0 16 16 16 1 24 12
si2_b06m_m200.00 4 1 003 655 1 14 20 20 1 39 11
si2_b06m_m200.01 4 1 003 663 0 9 13 9 1 23 9
si2_b06m_m200.09 4 1 012 738 0 18 19 18 1 29 11
si2_b06m_m200.07 4 1 002 625 1 14 13 21 1 30 11
si6_m4Dr4_m625.05 6 1 094 28305 14 331 332 323 47 1244 60
si6_m4Dr4_m625.09 6 1 071 37259 9 314 335 306 41 1136 59
si6_m4Dr4_m625.04 6 1 128 34456 11 310 305 299 33 1135 57
si6_m4Dr4_m625.00 6 1 162 34084 14 250 251 224 38 1469 49
si6_m4Dr4_m625.08 6 1 114 37600 14 362 365 396 33 1417 59
si6_m4Dr4_m625.06 6 1 072 36059 9 423 459 413 49 1937 65
si6_m4Dr4_m625.01 6 1 281 48743 9 399 400 394 50 1507 59
si6_m4Dr4_m625.03 6 1 541 38705 15 431 433 424 35 2282 59
si6_m4Dr4_m625.07 6 1 780 69095 9 247 235 228 35 1734 51
si6_m4Dr4_m625.02 6 1 110 34833 10 316 318 308 47 1135 62
si4_b03_m200.06 3 1 033 743 1 10 12 11 1 638 12
si4_b03_m200.02 3 1 034 733 1 10 11 12 2 658 11
si4_b03_m200.07 3 1 061 760 1 9 11 15 2 420 12
si4_b03_m200.04 3 1 065 713 1 12 12 15 2 380 11
si4_b03_m200.03 3 1 061 658 0 13 9 9 2 391 11
si4_b03_m200.05 3 1 037 637 0 9 15 15 1 521 10
si4_b03_m200.09 3 1 034 616 0 14 13 9 2 387 11
si4_b03_m200.01 3 1 034 691 0 15 15 15 2 384 11
si4_b03_m200.00 3 1 035 664 0 15 15 10 2 392 12
si4_b03_m200.08 3 1 053 626 1 9 15 9 1 388 11
si2_b03_m400.03 3 1 219 1564 2 20 20 20 6 879 25
si2_b03_m400.06 3 1 110 1440 1 20 20 22 6 989 28
si2_b03_m400.07 3 1 216 1495 2 20 20 23 3 878 25
si2_b03_m400.01 3 1 223 1399 1 20 20 22 6 900 26
si2_b03_m400.05 3 1 217 1474 1 34 36 33 6 934 24
si2_b03_m400.09 3 1 111 1797 2 21 20 20 4 874 24
si2_b03_m400.02 3 1 115 1527 2 21 21 20 3 888 22
si2_b03_m400.00 3 1 110 1476 2 20 21 20 4 1094 20
si2_b03_m400.08 3 1 220 1570 1 22 21 20 6 885 23
si2_b03_m400.04 3 1 217 1470 2 20 28 20 3 869 25
si4_b09_m200.02 3 1 106 988 1 50 50 50 3 111 12
si4_b09_m200.01 3 1 109 1039 1 50 48 50 4 107 13
si4_b09_m200.00 3 1 192 937 1 50 50 51 4 180 13
si4_b09_m200.09 3 1 108 1076 1 50 70 50 3 113 14
si4_b09_m200.08 3 1 185 1025 1 60 72 62 5 113 13
si4_b09_m200.04 3 1 110 1173 1 50 49 53 3 178 16
si4_b09_m200.06 3 1 190 963 1 64 49 59 5 111 13
si4_b09_m200.05 3 1 106 947 1 62 53 59 5 114 15
si4_b09_m200.07 3 1 188 1034 1 50 49 50 3 110 13
si4_b09_m200.03 3 1 110 1003 1 50 50 51 3 108 12
si4_m4Dr4_m256.05 6 1 008 1972 2 40 52 46 6 100 15
si4_m4Dr4_m256.09 6 1 014 1473 1 47 45 46 3 104 15
si4_m4Dr4_m256.01 6 1 052 1731 2 21 20 21 3 75 11
si4_m4Dr4_m256.03 6 1 113 2005 2 25 25 25 4 135 12
si4_m4Dr4_m256.06 6 1 033 2332 2 63 44 62 4 99 14
si4_m4Dr4_m256.07 6 1 020 1526 2 42 41 42 7 84 14
si4_m4Dr4_m256.00 6 1 038 2115 2 28 27 30 4 122 12
si4_m4Dr4_m256.02 6 1 017 2180 2 24 25 24 3 79 13
si4_m4Dr4_m256.08 6 1 014 1524 1 59 53 45 4 108 15
si4_m4Dr4_m256.04 6 1 078 1884 1 25 27 38 5 211 12
si2_m4D_m625.01 5 1 1680 17474 5 122 117 113 48 15239 103
si2_m4D_m625.00 5 1 141 8217 8 118 156 109 25 401 47
si2_m4D_m625.08 5 1 478 8472 5 96 102 94 11 893 126
si2_m4D_m625.04 5 1 292 7768 5 111 111 111 26 734 76
si2_m4D_m625.09 5 1 765 6796 5 392 375 213 490 148277 128
si2_m4D_m625.02 5 1 175 12459 5 174 176 173 19 415 99
si2_m4D_m625.05 5 1 515 7339 6 237 229 160 316 95434 116
si2_m4D_m625.06 5 1 1145 19257 8 192 188 131 202 58517 122
si2_m4D_m625.07 5 1 984 7237 5 103 103 99 18 5772 120
si2_m4D_m625.03 5 1 214 11936 5 134 130 128 235 1203 62
si4_b09_m800.03 3 1 6705 33960 17 796 834 912 54 37225 301
si4_b09_m800.02 3 1 6143 35615 17 806 844 791 58 35795 331
si4_b09_m800.09 3 1 6321 41274 17 798 799 793 54 37887 296
si4_b09_m800.06 3 1 7383 36000 14 951 797 792 62 36195 298
si4_b09_m800.04 3 1 5577 33833 11 796 1245 793 54 37464 302
si4_b09_m800.05 3 1 5055 34390 12 802 799 793 54 33870 298
si4_b09_m800.00 3 1 5574 35109 11 795 811 793 55 36467 295
si4_b09_m800.01 3 1 5274 35082 12 810 796 799 54 34582 284
si4_b09_m800.07 3 1 5322 44124 17 796 797 795 55 36280 298
si4_b09_m800.08 3 1 6190 42493 11 836 801 795 86 35215 301
si2_m4Dr4_m256.05 6 1 034 1463 1 39 38 39 4 62 16
si2_m4Dr4_m256.02 6 1 016 1178 1 24 24 24 2 43 14
si2_m4Dr4_m256.00 6 1 038 1046 1 22 22 22 6 53 11
si2_m4Dr4_m256.07 6 1 068 1751 1 27 27 29 5 59 15
si2_m4Dr4_m256.03 6 1 029 1469 1 14 14 14 2 45 10
si2_m4Dr4_m256.06 6 1 016 884 1 33 32 33 2 51 15
si2_m4Dr4_m256.04 6 1 079 1515 1 14 14 22 14 72 13
si2_m4Dr4_m256.09 6 1 014 952 1 14 12 12 2 54 11
si2_m4Dr4_m256.01 6 1 029 947 1 39 38 38 1 92 17
si2_m4Dr4_m256.08 6 1 084 1407 1 45 28 37 80 301 18
si6_m4Dr2_m256.04 6 1 018 2190 1 73 72 71 6 128 18
si6_m4Dr2_m256.08 6 1 020 2051 2 49 65 49 6 130 16
si6_m4Dr2_m256.00 6 1 018 2300 1 50 49 51 4 128 17
si6_m4Dr2_m256.07 6 1 018 1857 1 93 91 147 9 173 22
si6_m4Dr2_m256.01 6 1 022 3404 1 56 56 57 4 166 15
si6_m4Dr2_m256.09 6 1 012 2627 2 83 80 76 7 252 18
si6_m4Dr2_m256.03 6 1 011 2095 1 50 49 53 5 171 16
si6_m4Dr2_m256.05 6 1 012 2437 2 31 30 29 6 129 13
si6_m4Dr2_m256.02 6 1 042 2140 1 33 49 32 7 148 13
si6_m4Dr2_m256.06 6 1 055 2461 1 29 29 28 4 132 12
si6_b06_m800.00 3 1 5554 41850 11 624 627 616 69 138073 421
si6_b06_m800.05 3 1 5654 41007 13 626 625 615 70 132398 415
si6_b06_m800.02 3 1 5889 42142 14 624 625 710 86 101482 402
si6_b06_m800.07 3 1 8264 44377 17 626 629 626 72 99027 417
si6_b06_m800.08 3 1 5516 49910 17 625 626 616 70 98827 427
si6_b06_m800.09 3 1 5575 48633 17 638 632 617 99 105260 436
si6_b06_m800.06 3 1 5802 46157 16 625 980 618 113 102442 407
si6_b06_m800.01 3 1 5319 42091 11 667 670 764 70 101645 403
si6_b06_m800.04 3 1 5354 39435 12 639 627 629 81 113291 408
si6_b06_m800.03 3 1 5293 40023 11 637 627 615 70 101068 424
si4_b09m_m800.06 4 1 235 35289 14 501 507 501 37 1063 64
si4_b09m_m800.01 4 1 233 44331 14 389 384 376 35 1164 53
si4_b09m_m800.02 4 1 154 40165 21 1137 1141 1130 38 1818 73
si4_b09m_m800.08 4 1 235 44193 15 346 346 340 36 988 53
si4_b09m_m800.04 4 1 215 38878 14 364 392 365 37 1096 49
si4_b09m_m800.03 4 1 235 43287 14 278 281 272 37 881 51
si4_b09m_m800.09 4 1 139 37712 14 480 482 474 37 2100 55
si4_b09m_m800.05 4 1 134 43169 14 396 398 391 36 899 61
si4_b09m_m800.00 4 1 237 42216 14 834 932 824 43 2195 64
si4_b09m_m800.07 4 1 133 36483 14 560 546 547 49 1222 62
si2_b06_m800.04 3 1 3271 15320 11 217 219 216 21 9304 159
si2_b06_m800.07 3 1 2856 12704 13 218 218 254 32 10525 166
si2_b06_m800.02 3 1 1648 11553 13 321 342 219 23 9539 166
si2_b06_m800.00 3 1 3350 12022 13 241 229 219 34 9886 139
si2_b06_m800.03 3 1 3261 11149 8 223 232 229 22 9992 160
si2_b06_m800.05 3 1 2301 12284 9 293 217 216 21 10899 171
si2_b06_m800.09 3 1 1652 14059 9 217 217 217 22 10277 162
si2_b06_m800.01 3 1 1645 12383 9 227 218 222 23 12246 165
si2_b06_m800.08 3 1 2377 11290 8 219 218 216 23 11115 158
si2_b06_m800.06 3 1 3230 13989 13 217 217 218 21 9585 152
si6_m4D_m256.03 5 1 093 1809 1 77 65 69 10 145 18
si6_m4D_m256.08 5 1 050 1828 2 64 61 89 10 116 18
si6_m4D_m256.07 5 1 081 1917 2 55 54 55 7 138 20
si6_m4D_m256.00 5 1 085 2115 1 52 51 52 13 119 19
si6_m4D_m256.01 5 1 079 1862 1 88 74 87 10 229 20
si6_m4D_m256.05 5 1 083 1729 2 58 67 60 10 218 18
si6_m4D_m256.09 5 1 119 4426 4856308 35 34 33 7 2075 29
si6_m4D_m256.04 5 1 050 1863 2 66 53 68 10 129 20
si6_m4D_m256.02 5 1 091 1950 2 56 53 55 10 130 18
si6_m4D_m256.06 5 1 047 1859 2 56 56 54 7 140 20
si2_b06m_m800.07 4 1 079 14645 14 248 249 257 17 477 45
si2_b06m_m800.02 4 1 054 18262 9 194 198 220 23 481 40
si2_b06m_m800.03 4 1 076 14879 9 205 203 199 15 488 36
si2_b06m_m800.01 4 1 070 15121 9 119 116 113 23 289 38
si2_b06m_m800.08 4 1 086 13905 9 240 242 237 15 427 50
si2_b06m_m800.04 4 1 075 13797 9 203 206 203 15 413 46
si2_b06m_m800.06 4 1 061 14518 14 192 201 206 24 458 41
si2_b06m_m800.09 4 1 043 13990 9 267 262 255 15 400 58
si2_b06m_m800.05 4 1 075 16638 9 150 151 148 15 382 43
si2_b06m_m800.00 4 1 078 14723 9 191 193 190 16 704 40
si4_b06m_m200.00 4 1 008 878 1 28 29 29 2 38 12
si4_b06m_m200.08 4 1 009 919 1 22 20 14 3 44 10
si4_b06m_m200.05 4 1 009 889 1 14 13 20 2 60 9
si4_b06m_m200.09 4 1 007 867 1 18 17 18 2 54 9
si4_b06m_m200.01 4 1 010 933 1 24 23 24 2 44 12
si4_b06m_m200.07 4 1 009 1045 1 25 29 21 2 38 12
si4_b06m_m200.02 4 1 007 842 1 76 109 83 1 86 29
si4_b06m_m200.04 4 1 004 1110 1 29 43 40 1 53 13
si4_b06m_m200.06 4 1 009 930 0 14 14 14 2 39 10
si4_b06m_m200.03 4 1 007 858 1 28 18 28 1 37 13
si6_r001_m400.09 7 1 1352 10773 1e8 199 198 200 233 861 25
si6_r001_m400.05 7 1 1008 16386 1e8 199 198 196 4957 836 25
si6_r001_m400.00 7 1 1073 13246 1e8 214 209 226 47 934 27
si6_r001_m400.04 7 1 2004 26565 1e8 199 196 192 989 1000 25
si6_r001_m400.07 7 1 1580 21960 1e8 200 200 198 14 763 24
si6_r001_m400.06 7 1 767 10714 1e8 198 198 196 133 1077 27
si6_r001_m400.02 7 1 1414 16781 1e8 196 196 194 20 773 27
si6_r001_m400.03 7 1 1290 19419 1e8 203 198 196 27 780 24
si6_r001_m400.08 7 1 2180 14328 1e8 191 190 187 17 6545 33
si6_r001_m400.01 7 1 915 11062 1e8 215 221 225 22 1481 28
si6_m4D_m625.00 5 1 321 26264 12 259 264 252 59 763 57
si6_m4D_m625.07 5 1 1517 87849 1e8 236 245 276 740 148863 207
si6_m4D_m625.05 5 1 4713 155058 1e8 186 196 181 2513 31971 189
si6_m4D_m625.08 5 1 451 24908 11 262 271 252 77 767 53
si6_m4D_m625.02 5 1 418 27839 11 264 263 254 60 766 55
si6_m4D_m625.03 5 1 23278 64077 1e8 3436 3376 2576 15397 7792924 306
si6_m4D_m625.04 5 1 259 23699 8 259 261 252 60 762 56
si6_m4D_m625.09 5 1 1683 55070 1e8 215 214 195 173 91103 247
si6_m4D_m625.01 5 1 352 22038 7 280 261 252 69 1279 55
si6_m4D_m625.06 5 1 1070 65829 1e8 177 177 169 50 25071 123
si6_b09m_m800.02 4 1 296 63398 17 752 754 776 62 1759 84
si6_b09m_m800.09 4 1 339 63162 17 510 510 497 63 1749 77
si6_b09m_m800.04 4 1 203 69953 18 609 602 599 73 1804 78
si6_b09m_m800.07 4 1 356 69572 19 1449 1449 1437 62 2617 97
si6_b09m_m800.00 4 1 315 65204 17 437 438 427 59 2414 75
si6_b09m_m800.05 4 1 198 64524 17 901 904 888 59 2075 87
si6_b09m_m800.03 4 1 189 66186 17 589 565 553 61 1782 77
si6_b09m_m800.01 4 1 200 69981 21 636 632 662 63 1904 84
si6_b09m_m800.06 4 1 345 70295 19 959 961 945 75 3236 88
si6_b09m_m800.08 4 1 327 64009 17 921 915 907 62 2129 88
si4_m4Dr6_m1296.01 6 1 251 170473 51 630 624 606 96 5609 111
si4_m4Dr6_m1296.07 6 1 2405 253150 50 1276 1279 1351 102 8660 126
si4_m4Dr6_m1296.06 6 1 748 233461 34 640 603 585 96 6676 112
si4_m4Dr6_m1296.02 6 1 423 183726 35 1076 1071 1064 137 6228 126
si4_m4Dr6_m1296.08 6 1 286 133254 35 1050 1054 1044 136 6054 128
si4_m4Dr6_m1296.03 6 1 373 198554 35 636 631 667 96 6173 108
si4_m4Dr6_m1296.00 6 1 3209 490613 35 1402 1438 1375 109 9263 124
si4_m4Dr6_m1296.09 6 1 776 215432 43 664 664 645 96 7299 106
si4_m4Dr6_m1296.05 6 1 377 197468 34 614 602 601 95 7179 110
si4_m4Dr6_m1296.04 6 1 279 259652 36 1094 1085 1070 141 5592 126
si2_b06_m400.09 3 1 233 2208 3 56 57 57 5 756 24
si2_b06_m400.02 3 1 447 2062 2 58 56 77 8 741 25
si2_b06_m400.00 3 1 305 2144 3 88 56 88 8 758 28
si2_b06_m400.03 3 1 434 2059 3 64 60 60 8 754 25
si2_b06_m400.07 3 1 325 2180 2 62 57 60 7 766 28
si2_b06_m400.04 3 1 226 2149 2 59 68 56 8 763 24
si2_b06_m400.05 3 1 435 2279 3 59 57 57 5 746 25
si2_b06_m400.01 3 1 224 2063 3 94 56 57 5 738 23
si2_b06_m400.08 3 1 230 2625 3 58 56 57 6 749 24
si2_b06_m400.06 3 1 395 2124 2 56 57 58 8 734 27
si4_r01_m200.01 7 1 127265 366244 1e8 536 536 367 243 181831 139
si4_r01_m200.08 7 1 338760 487648 1e8 11681 11512 5823 8695 5219655 1133
si4_r01_m200.03 7 1 41123 254682 1e8 1100 1088 683 605 530835 203
si4_r01_m200.04 7 1 126739 242652 1e8 991 981 663 528 386706 205
si4_r01_m200.07 7 1 708036 505355 1e8 1086 1340 724 918 490932 303
si4_r01_m200.02 7 1 841814 935846 1e8 2070 2017 1489 1377 941634 240
si4_r01_m200.05 7 1 1288495 25871 1e8 869 752 491 396 277212 134
si4_r01_m200.06 7 1 22424 118308 1e8 535 518 596 243 157999 182
si4_r01_m200.00 7 1 2651652 358452 1e8 3872 3845 2338 3041 1629505 417
si4_r01_m200.09 7 1 94507 205296 1e8 1184 1175 774 711 404217 256
si2_r001_m400.06 7 1 612375 44037 1e8 89 129 61 1e8 99120 53
si2_r001_m400.08 7 1 11665 30796 1e8 56 49 48 532635 2860 33
si2_r001_m400.09 7 1 41202 9907 1e8 8681 23910 4214 44082526 11473700 30
si2_r001_m400.01 7 1 342 4070 1e8 51 50 49 257669 5662 24
si2_r001_m400.03 7 1 5844 24023 1e8 61 61 53 37763 16501 51
si2_r001_m400.04 7 1 488 6795 1e8 6067 7935 2554 1e8 5034604 24
si2_r001_m400.05 7 1 1161 7760 1e8 121 146 88 1e8 62295 27
si2_r001_m400.02 7 1 210 5627 1e8 47 48 45 1e8 4732 33
si2_r001_m400.00 7 1 1405 7346 1e8 58 57 52 1283 13117 47
si2_r001_m400.07 7 1 180503 15098 1e8 61 72 51 1e8 20202 28
si4_b03m_m800.03 4 1 047 23279 8 163 176 166 26 1099 54
si4_b03m_m800.05 4 1 067 21427 12 108 108 105 41 911 48
si4_b03m_m800.06 4 1 043 26318 8 287 291 284 26 1357 67
si4_b03m_m800.01 4 1 084 25151 8 246 248 243 39 1112 63
si4_b03m_m800.08 4 1 074 26359 10 152 246 139 38 1435 53
si4_b03m_m800.09 4 1 048 25128 9 138 137 133 28 902 55
si4_b03m_m800.00 4 1 055 24052 10 163 165 158 38 1609 54
si4_b03m_m800.02 4 1 047 21195 8 116 112 103 37 991 50
si4_b03m_m800.07 4 1 044 21867 14 153 154 156 38 939 55
si4_b03m_m800.04 4 1 081 22093 11 197 148 138 38 803 52
si2_r01_m200.03 7 1 29339575 572876 1e8 135683 132539 69693 107475 48442922 18460
si2_r01_m200.00 7 1 31810337 2110359 1e8 1728 1698 945 1022 946793 153
si2_r01_m200.05 7 1 57173546 196260 1e8 959 944 608 603 406444 245
si2_r01_m200.01 7 1 210613 971365 1e8 5039 5110 2901 3789 2108891 683
si2_r01_m200.08 7 1 1312992 1510852 1e8 119 119 118 2 816 102
si2_r01_m200.06 7 1 2704485 1834033 1e8 26817 26340 14093 21701 13471149 2954
si2_r01_m200.09 7 1 655543 1932408 1e8 21016 20792 11058 16434 9183411 1811
si2_r01_m200.02 7 1 5156590 988399 1e8 1559 1500 854 1130 668872 390
si2_r01_m200.07 7 1 62276689 81410 1e8 3596 3500 2034 2640 1565468 435
si2_r01_m200.04 7 1 473616 398596 1e8 420 416 271 223 236083 150
si2_r01_m400.04 7 1 1e8 13465572 1e8 22311 21975 14715 13449 17018637 8037
si2_r01_m400.00 7 1 1e8 20029317 1e8 54575 53407 30280 36041 40606394 1949
si2_r01_m400.07 7 1 1e8 91831212 1e8 713271 697437 366220 488497 493054611 56000
si2_r01_m400.09 7 1 1e8 86328163 1e8 121123 118474 62917 83290 108652764 8745
si2_r01_m400.01 7 1 1e8 1e8 1e8 57864 56949 29333 39411 51257097 7081
si2_r01_m400.03 7 1 1e8 20994101 1e8 4294 4301 3586 1382 2058099 2757
si2_r01_m400.02 7 1 1e8 83773725 1e8 73474 72216 38687 50061 68764022 18156
si2_r01_m400.05 7 1 1e8 17694199 1e8 179522 178513 94981 122493 173442849 21375
si2_r01_m400.06 7 1 1e8 8417259 1e8 55072 54081 34452 36543 49529424 16401
si2_r01_m400.08 7 1 53069369 76275033 1e8 18197 17897 10641 11100 12973124 8073
si4_m4D_m625.09 5 1 197 16168 8 178 181 175 27 745 50
si4_m4D_m625.03 5 1 416 14904 6 205 208 202 28 922 60
si4_m4D_m625.07 5 1 540 28862 1e8 135 208 124 44 23255 178
si4_m4D_m625.02 5 1 1730 31712 6 376 382 278 879 495321 142
si4_m4D_m625.00 5 1 368 16970 6 189 190 189 28 790 51
si4_m4D_m625.01 5 1 1131 38714 1e8 182 181 203 143 69837 191
si4_m4D_m625.04 5 1 142 16129 6 155 157 153 35 574 41
si4_m4D_m625.06 5 1 172 19125 6 182 183 186 29 1184 49
si4_m4D_m625.08 5 1 872 37729 42598 129 124 126 24 8296 168
si4_m4D_m625.05 5 1 343 14624 6 288 286 282 19 868 62
si6_m4Dr6_m256.05 6 1 033 2877 2 40 39 39 6 186 13
si6_m4Dr6_m256.04 6 1 042 2738 2 80 78 80 9 155 17
si6_m4Dr6_m256.03 6 1 013 3127 1 37 37 37 4 139 14
si6_m4Dr6_m256.02 6 1 022 2454 1 57 49 56 7 122 15
si6_m4Dr6_m256.08 6 1 023 2201 1 40 41 50 4 122 13
si6_m4Dr6_m256.00 6 1 040 2588 2 80 78 80 6 244 17
si6_m4Dr6_m256.09 6 1 012 2132 2 60 59 59 4 128 17
si6_m4Dr6_m256.07 6 1 019 3548 1 72 73 72 4 163 17
