instance sat family size gpgnode/vbbjdpd flint/vbbjdpdfad gpgnode/vbbjdpdnocad
si2-b03m-m200.01 1 4 200 41 41 41
si2-b03m-m200.07 1 4 200 41 41 41
si4-r001-m200.04 1 7 200 81 81 81
si4-r001-m200.07 1 7 200 86 82 90
si4-r001-m200.00 1 7 200 81 81 81
si4-r001-m200.01 1 7 200 81 81 81
si4-r001-m200.03 1 7 200 87 87 91
si4-r001-m200.06 1 7 200 81 81 81
si4-r001-m200.05 1 7 200 81 81 81
si4-r001-m200.08 1 7 200 87 87 90
si4-r001-m200.09 1 7 200 367 332 436
si4-r001-m200.02 1 7 200 122 115 130
si2-m4D-m256.08 1 5 256 692 620 1006
si2-m4D-m256.03 1 5 256 60 64 56
si2-m4D-m256.02 1 5 256 233 116 424
si2-m4D-m256.06 1 5 256 52 52 52
si2-m4D-m256.04 1 5 256 52 52 59
si2-m4D-m256.07 1 5 256 52 52 77
si2-m4D-m256.01 1 5 256 52 52 52
si2-m4D-m256.09 1 5 256 54 54 55
si2-m4D-m256.00 1 5 256 52 52 52
si2-m4D-m256.05 1 5 256 98 90 128
si6-r01-m400.04 1 7 400 216563 179667 1506201
si6-r01-m400.08 1 7 400 24369 15337 191540
si6-r01-m400.07 1 7 400 48656 42585 963208
si6-r01-m400.06 1 7 400 32086 21741 1491629
si6-r01-m400.05 1 7 400 600192 442767 3383537
si6-r01-m400.02 1 7 400 145011 112508 780157
si6-r01-m400.00 1 7 400 141898 95804 461493
si6-r01-m400.03 1 7 400 45199 34910 1173400
si6-r01-m400.01 1 7 400 55288 49744 1309591
si6-r01-m400.09 1 7 400 255710 180581 1746506
si2-m4Dr4-m625.07 1 6 625 127 126 131
si2-m4Dr4-m625.02 1 6 625 126 126 126
si2-m4Dr4-m625.03 1 6 625 126 126 126
si2-m4Dr4-m625.00 1 6 625 126 126 126
si2-m4Dr4-m625.05 1 6 625 126 126 126
si2-m4Dr4-m625.06 1 6 625 141 141 144
si2-m4Dr4-m625.09 1 6 625 490 463 910
si2-m4Dr4-m625.01 1 6 625 126 126 126
si2-m4Dr4-m625.08 1 6 625 126 126 126
si2-m4Dr4-m625.04 1 6 625 140 140 142
si4-r01-m400.01 1 7 400 1919 1615 28985
si4-r01-m400.08 1 7 400 1384834 1215866 3473944
si4-r01-m400.02 1 7 400 5560678 4986925 10306333
si4-r01-m400.03 1 7 400 651133 635416 1050031
si4-r01-m400.07 1 7 400 1101216 903687 2774634
si4-r01-m400.06 1 7 400 65755 61679 288643
si4-r01-m400.04 1 7 400 5591160 5175886 8438045
si4-r01-m400.00 1 7 400 9426571 8242514 15356103
si4-r01-m400.05 1 7 400 240181 228805 870721
si4-r01-m400.09 1 7 400 1109809 1053158 1771824
si2-b09m-m400.09 1 4 400 81 81 85
si2-b09m-m400.03 1 4 400 82 81 107
si2-b09m-m400.01 1 4 400 81 81 81
si2-b09m-m400.08 1 4 400 81 81 91
si2-b09m-m400.05 1 4 400 81 81 81
si2-b09m-m400.06 1 4 400 81 81 83
si2-b09m-m400.00 1 4 400 81 81 81
si2-b09m-m400.02 1 4 400 81 81 81
si2-b09m-m400.04 1 4 400 81 81 83
si2-b09m-m400.07 1 4 400 81 81 81
si2-b09-m800.07 1 3 800 161 161 161
si2-b09-m800.04 1 3 800 161 161 161
si2-b09-m800.05 1 3 800 161 161 161
si2-b09-m800.00 1 3 800 161 161 161
si2-b09-m800.02 1 3 800 161 161 161
si2-b09-m800.01 1 3 800 161 161 161
si2-b09-m800.08 1 3 800 161 161 161
si2-b09-m800.09 1 3 800 161 161 161
si2-b09-m800.03 1 3 800 161 161 161
si2-b09-m800.06 1 3 800 161 161 161
si6-b03-m400.04 1 3 400 241 241 241
si6-b03-m400.09 1 3 400 241 241 241
si6-b03-m400.02 1 3 400 241 241 241
si6-b03-m400.06 1 3 400 241 241 241
si6-b03-m400.05 1 3 400 241 241 241
si6-b03-m400.08 1 3 400 241 241 241
