instance sat family size vbbjdpd ttvbbjdpd32j ttvbbjdpd32g
si4-b06-m800.00 1 3 800 421 290 306
si4-b06-m800.08 1 3 800 418 313 293
si4-b06-m800.05 1 3 800 417 295 295
si4-b06-m800.03 1 3 800 417 316 292
si4-b06-m800.06 1 3 800 417 313 286
si4-b06-m800.07 1 3 800 560 319 290
si4-b06-m800.01 1 3 800 419 317 299
si4-b06-m800.02 1 3 800 422 295 283
si4-b06-m800.09 1 3 800 419 308 301
si6-b09m-m200.07 1 4 200 60 15 15
si6-b09m-m200.06 1 4 200 58 13 11
si6-b09m-m200.01 1 4 200 109 19 17
si6-b09m-m200.08 1 4 200 47 12 13
si6-b09m-m200.00 1 4 200 98 18 19
si6-b09m-m200.09 1 4 200 86 16 19
si6-b09m-m200.02 1 4 200 135 17 19
si6-b09m-m200.05 1 4 200 105 22 24
si6-b09m-m200.03 1 4 200 41 13 11
si6-b09m-m200.04 1 4 200 69 16 14
si4-b09m-m400.07 1 4 400 192 29 23
si4-b09m-m400.06 1 4 400 201 24 23
si4-b09m-m400.00 1 4 400 100 18 18
si4-b09m-m400.08 1 4 400 110 18 19
si4-b09m-m400.04 1 4 400 116 19 19
si4-b09m-m400.09 1 4 400 98 19 24
si4-b09m-m400.02 1 4 400 165 23 28
si4-b09m-m400.03 1 4 400 119 19 19
si4-b09m-m400.01 1 4 400 98 18 21
si4-b09m-m400.05 1 4 400 163 23 23
si6-m4Dr4-m1296.03 1 6 1296 1593 202 190
si6-m4Dr4-m1296.06 1 6 1296 1660 209 190
si6-m4Dr4-m1296.04 1 6 1296 1402 197 192
si6-m4Dr4-m1296.01 1 6 1296 900 182 177
si6-m4Dr4-m1296.09 1 6 1296 1404 197 199
si6-m4Dr4-m1296.02 1 6 1296 1044 184 179
si6-m4Dr4-m1296.08 1 6 1296 881 177 176
si6-m4Dr4-m1296.05 1 6 1296 1059 181 177
si6-m4Dr4-m1296.07 1 6 1296 2051 205 197
si6-m4Dr4-m1296.00 1 6 1296 779 184 173
si6-b06-m200.09 1 3 200 45 24 27
si6-b06-m200.03 1 3 200 48 19 27
si6-b06-m200.05 1 3 200 40 27 27
si6-b06-m200.00 1 3 200 45 29 26
si6-b06-m200.08 1 3 200 41 29 24
si6-b06-m200.02 1 3 200 40 25 27
si6-b06-m200.06 1 3 200 43 27 25
si6-b06-m200.04 1 3 200 40 26 25
si6-b06-m200.01 1 3 200 42 25 27
si6-b06-m200.07 1 3 200 57 27 28
si4-m4Dr6-m625.02 1 6 625 224 40 37
si4-m4Dr6-m625.06 1 6 625 325 48 44
si4-m4Dr6-m625.03 1 6 625 150 43 40
si4-m4Dr6-m625.07 1 6 625 174 38 38
si4-m4Dr6-m625.08 1 6 625 129 41 37
si4-m4Dr6-m625.09 1 6 625 149 42 38
si4-m4Dr6-m625.00 1 6 625 142 39 38
si4-m4Dr6-m625.01 1 6 625 140 38 41
si4-m4Dr6-m625.05 1 6 625 140 38 38
si4-m4Dr6-m625.04 1 6 625 246 46 43
si6-b06m-m200.09 1 4 200 37 13 13
si6-b06m-m200.02 1 4 200 17 10 10
si6-b06m-m200.05 1 4 200 29 14 15
si6-b06m-m200.00 1 4 200 30 14 12
si6-b06m-m200.07 1 4 200 79 28 26
si6-b06m-m200.04 1 4 200 29 12 13
si6-b06m-m200.08 1 4 200 29 14 12
si6-b06m-m200.06 1 4 200 16 13 10
si6-b06m-m200.03 1 4 200 51 21 21
si6-b06m-m200.01 1 4 200 56 19 18
si6-m4Dr4-m256.05 1 6 256 132 23 22
si6-m4Dr4-m256.03 1 6 256 131 18 19
si6-m4Dr4-m256.02 1 6 256 71 17 17
si6-m4Dr4-m256.01 1 6 256 59 17 17
si6-m4Dr4-m256.08 1 6 256 40 13 14
si6-m4Dr4-m256.09 1 6 256 37 12 15
si6-m4Dr4-m256.07 1 6 256 68 16 15
si6-m4Dr4-m256.06 1 6 256 66 16 17
si6-m4Dr4-m256.04 1 6 256 103 18 20
si6-m4Dr4-m256.00 1 6 256 69 15 17
si4-r001-m600.01 1 7 600 473 65 74
si4-r001-m600.08 1 7 600 540 147 155
si4-r001-m600.02 1 7 600 546 126 122
si4-r001-m600.07 1 7 600 472 51 48
si4-r001-m600.05 1 7 600 491 72 69
si4-r001-m600.06 1 7 600 792 102 92
si4-r001-m600.00 1 7 600 504 62 64
si4-r001-m600.04 1 7 600 591 64 62
si4-r001-m600.09 1 7 600 474 94 108
si4-r001-m600.03 1 7 600 464 129 114
si2-b09m-m200.08 1 4 200 53 18 20
si2-b09m-m200.06 1 4 200 21 10 10
si2-b09m-m200.03 1 4 200 29 14 15
si2-b09m-m200.09 1 4 200 14 11 12
si2-b09m-m200.04 1 4 200 33 13 14
si2-b09m-m200.00 1 4 200 51 18 20
si2-b09m-m200.01 1 4 200 21 11 11
si2-b09m-m200.05 1 4 200 15 11 11
si2-b09m-m200.07 1 4 200 25 14 14
si2-b09m-m200.02 1 4 200 25 14 14
si6-b03-m200.01 1 3 200 19 25 25
si6-b03-m200.03 1 3 200 15 25 29
si6-b03-m200.04 1 3 200 23 29 26
si6-b03-m200.08 1 3 200 18 24 27
si6-b03-m200.07 1 3 200 13 26 27
si6-b03-m200.09 1 3 200 14 30 29
si6-b03-m200.05 1 3 200 15 27 28
si6-b03-m200.02 1 3 200 14 24 27
si6-b03-m200.06 1 3 200 13 27 26
si6-b03-m200.00 1 3 200 13 27 26
si6-b09-m200.09 1 3 200 112 29 33
si6-b09-m200.06 1 3 200 76 30 34
si6-b09-m200.08 1 3 200 115 27 26
si6-b09-m200.03 1 3 200 89 31 31
si6-b09-m200.00 1 3 200 75 29 30
si6-b09-m200.02 1 3 200 90 24 30
si6-b09-m200.07 1 3 200 100 30 25
si6-b09-m200.04 1 3 200 76 28 33
si6-b09-m200.01 1 3 200 76 24 29
si6-b09-m200.05 1 3 200 82 30 31
g10-g11 0 2 42 1 6 6
g10-g12 0 2 48 1 8 7
g10-g13 0 2 49 2 7 7
g10-g14 0 2 50 1 7 7
g10-g15 0 2 50 6 10 9
g10-g16 0 2 53 16 17 15
g10-g20 1 2 64 12 22 20
g10-g21 1 2 64 81 220 201
g10-g22 0 2 67 19 15 15
g10-g23 0 2 73 330485 50082 65985
g10-g25 0 2 75 1 7 7
g10-g26 0 2 80 1136407 89628 70783
g10-g27 1 2 86 3440473 73198 140541
g10-g28 0 2 97 1 6 7
g10-g29 1 2 100 12 18 15
g10-g30 1 2 100 17 17 16
g10-g31 1 2 100 14 18 20
g10-g32 1 2 100 605 1395 1216
g10-g33 0 2 101 7 8 10
g10-g37 0 2 120 14242 950 1944
g10-g38 0 2 121 3 7 7
g10-g40 1 2 121 185 347 323
g10-g41 0 2 128 6 8 8
g10-g42 0 2 128 20 26 17
g10-g43 1 2 128 383 19 20
g10-g44 1 2 128 26 20 19
g10-g45 1 2 128 22 18 19
g10-g46 1 2 128 3474 118 213
g10-g47 1 2 128 3806 79 81
g10-g48 1 2 128 181 29 27
g10-g49 1 2 128 405 25 16
g10-g50 1 2 128 147 203 224
g11-g12 0 2 48 2 7 8
g11-g13 0 2 49 2 7 7
g11-g14 0 2 50 1 7 7
g11-g15 0 2 50 3 7 8
g11-g16 0 2 53 2 6 7
g11-g20 1 2 64 258 26 33
g11-g21 1 2 64 83 169 199
g11-g22 0 2 67 2 7 7
g11-g23 0 2 73 12 11 13
g11-g25 0 2 75 3 7 8
g11-g26 0 2 80 7 10 11
g11-g27 0 2 86 71785 4477 8623
g11-g28 0 2 97 1 7 7
g11-g29 0 2 100 3976 552 472
g11-g30 0 2 100 3589 503 457
g11-g31 0 2 100 24422 2901 2012
g11-g32 1 2 100 607 1386 1257
g11-g33 0 2 101 4 7 7
g11-g37 0 2 120 11 12 11
g11-g38 0 2 121 5 10 10
g11-g40 1 2 121 187 359 308
g11-g41 0 2 128 3 7 7
g11-g42 0 2 128 8 8 9
g11-g43 1 2 128 100000000 13380 5331
g11-g44 0 2 128 16993 1623 1852
g11-g45 0 2 128 16784 1705 1858
g11-g46 0 2 128 97 84 55
g11-g47 0 2 128 95 89 52
g11-g48 0 2 128 214 157 102
g11-g49 0 2 128 4998968 329960 350577
g11-g50 1 2 128 158 233 223
g12-g20 0 2 64 27 27 21
g12-g21 1 2 64 81 199 167
g12-g23 0 2 73 4 10 11
g12-g26 0 2 80 5 10 9
g12-g27 0 2 86 6 9 11
g12-g29 0 2 100 19 19 20
g12-g30 0 2 100 19 19 17
g12-g31 0 2 100 33 28 25
g12-g32 1 2 100 612 1195 1421
g12-g38 0 2 121 3 8 9
g12-g40 1 2 121 261 336 299
g12-g43 0 2 128 20 17 19
g12-g44 0 2 128 52 23 24
g12-g45 0 2 128 37 22 23
g12-g46 0 2 128 13 11 13
g12-g47 0 2 128 19 13 13
g12-g48 0 2 128 17 15 16
g12-g50 1 2 128 153 215 233
g13-g15 1 2 50 5 9 9
g13-g20 0 2 64 118 96 68
g13-g21 1 2 64 81 201 184
g13-g23 0 2 73 8 11 11
g13-g25 0 2 75 1 7 7
g13-g26 0 2 80 7 11 10
g13-g27 0 2 86 137 78 66
g13-g29 0 2 100 18 18 19
g13-g30 0 2 100 18 17 23
g13-g31 0 2 100 23 23 20
g13-g32 1 2 100 631 1284 1245
g13-g38 0 2 121 2 9 9
g13-g40 1 2 121 192 339 284
g13-g43 1 2 128 2007594 22 22
g13-g44 0 2 128 36 24 22
g13-g45 0 2 128 35 22 23
g13-g46 0 2 128 18 11 12
g13-g47 0 2 128 18 12 12
g13-g48 0 2 128 20 12 13
g13-g49 0 2 128 37 25 23
g13-g50 1 2 128 155 253 231
g14-g15 0 2 50 3 8 7
g14-g20 0 2 64 662 118 106
g14-g21 1 2 64 96 189 180
g14-g23 0 2 73 5 10 10
g14-g25 0 2 75 1 6 6
g14-g26 0 2 80 12 12 10
g14-g27 1 2 86 53 24 19
g14-g29 0 2 100 17 18 22
g14-g30 0 2 100 17 19 21
g14-g31 0 2 100 20 19 20
g14-g32 1 2 100 605 1225 1380
g14-g38 0 2 121 3 9 9
g14-g40 1 2 121 190 337 307
g14-g43 1 2 128 21 16 17
g14-g44 0 2 128 34 22 20
g14-g45 0 2 128 31 21 28
g14-g46 0 2 128 20 14 11
g14-g47 0 2 128 17 12 13
g14-g48 0 2 128 25 14 14
g14-g49 1 2 128 459 792 838
g14-g50 1 2 128 152 225 241
g15-g20 0 2 64 25 20 20
g15-g21 1 2 64 82 206 183
g15-g23 0 2 73 8 10 10
g15-g25 0 2 75 2 7 7
g15-g26 0 2 80 8 11 10
g15-g27 0 2 86 13 18 17
g15-g29 0 2 100 25 17 20
g15-g30 0 2 100 18 16 16
g15-g31 0 2 100 21 23 22
g15-g32 1 2 100 609 1281 1397
g15-g38 0 2 121 2 8 9
g15-g40 1 2 121 195 357 294
g15-g43 1 2 128 704968 27 91
g15-g44 0 2 128 34 19 19
g15-g45 0 2 128 34 19 19
g15-g46 0 2 128 16 11 11
g15-g47 0 2 128 22 13 12
g15-g48 0 2 128 20 16 12
g15-g49 0 2 128 48 27 26
g15-g50 1 2 128 186 223 213
g16-g20 0 2 64 569627 32006 31198
g16-g21 1 2 64 85 189 203
g16-g22 0 2 67 2 8 7
g16-g23 0 2 73 12 12 10
g16-g25 0 2 75 2 7 7
g16-g26 0 2 80 16 10 10
g16-g27 0 2 86 22944 1424 7347
g16-g28 0 2 97 1 7 6
g16-g29 0 2 100 61 49 33
g16-g30 0 2 100 60 45 32
g16-g31 0 2 100 188 79 53
g16-g32 1 2 100 615 1340 1368
g16-g33 0 2 101 3 8 8
g16-g37 1 2 120 36 13 12
g16-g38 0 2 121 2 8 7
g16-g40 1 2 121 213 291 353
g16-g43 -1 2 128 100000000 100000000 100000000
g16-g44 0 2 128 143 82 52
g16-g45 0 2 128 191 77 86
g16-g46 0 2 128 26 16 15
g16-g47 0 2 128 26 16 17
g16-g48 0 2 128 45 18 22
g16-g49 0 2 128 50509 16346 3244
g16-g50 1 2 128 162 226 227
g17-g18 1 2 64 3 10 9
g17-g19 0 2 64 10 11 10
g17-g20 1 2 64 9 21 19
g17-g21 1 2 64 78 199 181
g17-g22 0 2 67 6 8 7
g17-g23 0 2 73 4 10 10
g17-g24 0 2 75 1 7 7
g17-g25 0 2 75 3 7 7
g17-g26 0 2 80 4 8 6
g17-g27 -1 2 86 100000000 100000000 100000000
g17-g28 0 2 97 1 6 6
g17-g29 1 2 100 12 18 24
g17-g30 1 2 100 13 17 19
g17-g31 1 2 100 20 20 22
g17-g32 1 2 100 605 1250 1374
g17-g33 0 2 101 59 34 26
g17-g34 0 2 120 4 7 7
g17-g35 0 2 120 16 13 14
g17-g36 0 2 120 15 9 10
g17-g37 1 2 120 7898 1143 735
g17-g38 0 2 121 5 7 8
g17-g39 1 2 121 10 10 10
g17-g40 1 2 121 185 349 301
g17-g41 0 2 128 106 34 27
g17-g42 0 2 128 4158 312 591
g17-g43 1 2 128 100000000 33 39
g17-g44 1 2 128 30 17 27
g17-g45 1 2 128 34 19 20
g17-g46 1 2 128 17 15 14
g17-g47 1 2 128 21 16 15
g17-g48 1 2 128 15 17 18
g17-g49 1 2 128 15 17 20
g17-g50 1 2 128 147 230 212
g18-g19 0 2 64 4 8 7
g18-g20 1 2 64 4888 379 696
g18-g21 1 2 64 79 193 182
g18-g22 0 2 67 7 6 7
g18-g23 0 2 73 5 9 9
g18-g24 0 2 75 1 6 6
g18-g25 0 2 75 3 7 6
g18-g26 0 2 80 7 8 8
g18-g27 0 2 86 7 13 10
g18-g28 0 2 97 1 7 7
g18-g29 1 2 100 64 33 22
g18-g30 1 2 100 30 27 46
g18-g31 1 2 100 36 22 25
g18-g32 1 2 100 606 1237 1385
g18-g33 0 2 101 50 31 27
g18-g34 0 2 120 3 7 7
g18-g35 0 2 120 14 10 10
g18-g36 0 2 120 5 7 7
g18-g37 0 2 120 58734 5853 5218
g18-g38 0 2 121 5 9 7
g18-g39 0 2 121 19 12 12
g18-g40 1 2 121 188 342 300
g18-g41 0 2 128 170 43 41
g18-g42 0 2 128 583 101 93
g18-g43 -1 2 128 100000000 100000000 100000000
g18-g44 1 2 128 3165826 200346 262467
g18-g45 1 2 128 100000000 95327 272552
g18-g46 -1 2 128 100000000 100000000 100000000
g18-g47 -1 2 128 100000000 100000000 100000000
g18-g48 1 2 128 100000000 65406635 100000000
g18-g49 -1 2 128 100000000 100000000 100000000
g18-g50 1 2 128 150 220 207
g19-g20 1 2 64 100000000 20771335 18669805
g19-g21 1 2 64 83 207 168
g19-g22 0 2 67 2 7 7
g19-g23 0 2 73 9 8 7
g19-g25 0 2 75 2 7 7
g19-g26 0 2 80 6 9 7
g19-g27 0 2 86 450377 30286 45939
g19-g28 0 2 97 1 7 7
g19-g29 0 2 100 16592258 1572941 1674095
g19-g30 0 2 100 12992059 685373 1288867
g19-g31 -1 2 100 100000000 100000000 100000000
g19-g32 1 2 100 638 1207 1417
g19-g33 0 2 101 3 7 8
g19-g35 0 2 120 4 7 8
g19-g37 0 2 120 50 23 24
g19-g38 0 2 121 2 9 7
g19-g40 1 2 121 195 338 298
g19-g41 0 2 128 5 8 7
g19-g42 0 2 128 13 10 9
g19-g43 0 2 128 6213344 557014 385147
g19-g44 0 2 128 100000000 53673915 14026118
g19-g45 0 2 128 100000000 13513280 19733955
g19-g46 0 2 128 11754 1349 1627
g19-g47 0 2 128 11511 1532 820
g19-g48 0 2 128 47559 6424 6848
g19-g49 0 2 128 75094 4396 19481
g19-g50 1 2 128 157 214 217
g2-g10 1 2 41 1 10 10
g2-g11 1 2 42 1 10 11
g2-g12 1 2 48 1 11 10
g2-g13 1 2 49 1 9 11
g2-g14 1 2 50 1 10 10
g2-g15 1 2 50 2 11 12
g2-g16 1 2 53 2 10 10
g2-g17 1 2 64 0 9 9
g2-g18 1 2 64 1 8 8
g2-g19 1 2 64 1 10 8
g2-g20 1 2 64 6 18 21
g2-g21 1 2 64 74 176 188
g2-g22 1 2 67 1 8 10
g2-g23 1 2 73 4 11 11
g2-g24 0 2 75 2 12 12
g2-g25 1 2 75 1 12 11
g2-g26 1 2 80 4 11 12
g2-g27 1 2 86 7 14 13
g2-g28 1 2 97 2 13 12
g2-g29 1 2 100 7 18 15
g2-g3 0 2 10 0 11 9
g2-g30 1 2 100 8 18 18
g2-g31 1 2 100 10 21 20
g2-g32 1 2 100 596 1473 1345
g2-g33 1 2 101 3 9 10
g2-g34 1 2 120 1 9 8
g2-g35 1 2 120 3 9 10
g2-g36 1 2 120 2 10 10
g2-g37 1 2 120 6 12 11
g2-g38 1 2 121 2 12 14
g2-g39 1 2 121 2 10 10
g2-g4 1 2 10 0 9 8
g2-g40 1 2 121 183 303 349
g2-g41 1 2 128 3 9 9
g2-g42 1 2 128 3 9 9
g2-g43 1 2 128 9 16 17
g2-g44 1 2 128 12 17 19
g2-g45 1 2 128 15 18 18
g2-g46 1 2 128 7 14 14
g2-g47 1 2 128 7 14 15
g2-g48 1 2 128 11 16 16
g2-g49 1 2 128 11 15 14
g2-g5 1 2 11 0 7 8
g2-g50 1 2 128 141 235 229
g2-g6 1 2 19 0 10 11
g2-g7 1 2 20 0 9 8
g2-g8 1 2 30 0 10 11
g2-g9 1 2 37 0 11 11
g20-g21 1 2 64 139 216 191
g20-g23 0 2 73 8 16 19
g20-g26 0 2 80 7 17 15
g20-g27 0 2 86 9 18 18
g20-g29 0 2 100 13 23 22
g20-g30 0 2 100 13 20 21
g20-g31 0 2 100 16 24 23
g20-g32 1 2 100 645 1237 1393
g20-g38 0 2 121 9 16 16
g20-g40 -1 2 121 100000000 100000000 100000000
g20-g43 0 2 128 12 20 20
g20-g44 0 2 128 14 17 18
g20-g45 0 2 128 15 38 18
g20-g48 0 2 128 13 20 20
g20-g50 -1 2 128 100000000 100000000 100000000
g21-g27 0 2 86 78 172 165
g21-g32 1 2 100 766 1346 1520
g21-g40 0 2 121 280 462 437
g21-g50 0 2 128 266 335 317
g22-g23 0 2 73 7 8 8
g22-g25 0 2 75 3 7 8
g22-g26 0 2 80 6 9 8
g22-g27 0 2 86 36 22 20
g22-g28 0 2 97 1 8 7
g22-g29 0 2 100 38 19 21
g22-g30 0 2 100 24 19 20
g22-g31 0 2 100 29 22 29
g22-g32 1 2 100 613 1333 1418
g22-g33 0 2 101 6 10 9
g22-g37 1 2 120 18 11 13
g22-g38 0 2 121 3 7 8
g22-g40 1 2 121 196 309 357
g22-g43 -1 2 128 100000000 100000000 100000000
g22-g44 0 2 128 47 22 23
g22-g45 0 2 128 45 21 24
g22-g46 0 2 128 25 14 14
g22-g47 0 2 128 25 14 15
g22-g48 0 2 128 27 16 17
g22-g49 0 2 128 100000000 21617656 13102528
g22-g50 1 2 128 166 207 218
g23-g27 0 2 86 21 11 11
g23-g32 1 2 100 632 1418 1182
g23-g40 1 2 121 61582 355 350
g23-g50 1 2 128 173 233 215
g24-g25 0 2 75 2 7 7
g24-g26 1 2 80 5 11 12
g24-g27 1 2 86 7 13 14
g24-g28 0 2 97 2 8 8
g24-g29 0 2 100 5884 4952 885
g24-g30 0 2 100 6866 3750 3991
g24-g31 0 2 100 52919 23457 13259
g24-g32 1 2 100 606 1260 1354
g24-g33 0 2 101 3 8 8
g24-g35 0 2 120 5 8 7
g24-g36 0 2 120 5 7 8
g24-g37 1 2 120 9 11 11
g24-g38 0 2 121 5 9 9
g24-g39 0 2 121 3 9 8
g24-g40 1 2 121 183 354 312
g24-g41 0 2 128 3 7 8
g24-g42 1 2 128 5 11 10
g24-g43 1 2 128 13 24 17
g24-g44 0 2 128 22 26 23
g24-g45 0 2 128 24 23 23
g24-g46 0 2 128 10 13 14
g24-g47 0 2 128 10 16 14
g24-g48 0 2 128 95 31 44
g24-g49 1 2 128 11 15 19
g24-g50 1 2 128 144 224 221
g25-g26 1 2 80 6 11 10
g25-g27 0 2 86 362 67 70
g25-g29 0 2 100 15 18 20
g25-g30 0 2 100 17 18 20
g25-g31 0 2 100 16 23 17
g25-g32 1 2 100 603 1423 1245
g25-g38 0 2 121 3 9 9
g25-g40 1 2 121 187 301 362
g25-g43 1 2 128 207 20 17
g25-g44 0 2 128 23 18 19
g25-g45 0 2 128 23 19 18
g25-g46 0 2 128 12 12 12
g25-g47 0 2 128 12 12 11
g25-g48 0 2 128 21 14 15
g25-g49 1 2 128 15 18 16
g25-g50 1 2 128 148 219 205
g26-g27 0 2 86 16 10 14
g26-g32 1 2 100 665 1214 1423
g26-g40 1 2 121 219 340 303
g26-g50 1 2 128 181 207 224
g27-g32 1 2 100 650 1367 1241
g27-g50 1 2 128 352 234 250
g28-g29 1 2 100 12 18 20
g28-g30 1 2 100 12 17 20
g28-g31 1 2 100 13 21 19
g28-g32 1 2 100 604 1265 1326
g28-g33 0 2 101 3 7 7
g28-g37 1 2 120 100000000 100000000 7278
g28-g38 0 2 121 2 8 8
g28-g40 1 2 121 190 361 298
g28-g43 1 2 128 100000000 71 21
g28-g44 1 2 128 21 22 19
g28-g45 1 2 128 22 27 20
g28-g46 1 2 128 18 13 18
g28-g47 1 2 128 20 16 16
g28-g48 1 2 128 19 14 15
g28-g49 1 2 128 100000000 201 629
g28-g50 1 2 128 147 224 232
g29-g30 0 2 100 17 21 21
g29-g31 1 2 100 53 24 26
g29-g32 1 2 100 687 1281 1294
g29-g40 -1 2 121 100000000 100000000 100000000
g29-g44 0 2 128 20 37 19
g29-g45 0 2 128 19 19 18
g29-g50 0 2 128 221 232 226
g3-g10 0 2 41 5 22 21
g3-g11 0 2 42 1 9 11
g3-g12 0 2 48 1 9 9
g3-g13 1 2 49 2 13 13
g3-g14 1 2 50 2 10 10
g3-g15 1 2 50 2 10 11
g3-g16 1 2 53 3 12 10
g3-g17 0 2 64 1 8 9
g3-g18 0 2 64 0 7 7
g3-g19 0 2 64 2 9 10
g3-g20 1 2 64 6 18 21
g3-g21 1 2 64 75 174 208
g3-g22 1 2 67 3 11 12
g3-g23 1 2 73 3 11 12
g3-g24 0 2 75 1 9 8
g3-g25 1 2 75 1 11 11
g3-g26 1 2 80 5 11 11
g3-g27 1 2 86 6 13 14
g3-g28 0 2 97 1 7 6
g3-g29 1 2 100 9 18 17
g3-g30 1 2 100 11 23 15
g3-g31 1 2 100 12 20 30
g3-g32 1 2 100 622 1396 1317
g3-g33 0 2 101 7 35 24
g3-g34 0 2 120 1 7 7
g3-g35 1 2 120 6 15 13
g3-g36 0 2 120 4 17 14
g3-g37 1 2 120 5 11 11
g3-g38 0 2 121 2 9 9
g3-g39 0 2 121 7 33 24
g3-g4 1 2 10 0 10 7
g3-g40 1 2 121 180 287 372
g3-g41 0 2 128 15 39 25
g3-g42 1 2 128 5 13 13
g3-g43 1 2 128 21 24 26
g3-g44 1 2 128 12 17 16
g3-g45 1 2 128 18 25 18
g3-g46 1 2 128 10 16 14
g3-g47 1 2 128 10 14 22
g3-g48 1 2 128 8 23 15
g3-g49 1 2 128 8 15 18
g3-g5 0 2 11 0 8 7
g3-g50 1 2 128 143 218 237
g3-g6 0 2 19 0 10 9
g3-g7 0 2 20 0 7 7
g3-g8 0 2 30 1 16 13
g3-g9 0 2 37 1 11 12
g30-g31 0 2 100 51 21 21
g30-g32 0 2 100 696 1261 1279
g30-g40 0 2 121 276 335 330
g30-g44 0 2 128 19 18 21
g30-g45 0 2 128 25 17 18
g30-g50 0 2 128 216 234 228
g31-g32 1 2 100 692 1294 1306
g31-g40 -1 2 121 100000000 100000000 100000000
g31-g50 0 2 128 181 235 241
g33-g37 0 2 120 76 19 16
g33-g38 0 2 121 5 7 8
g33-g40 1 2 121 209 350 306
g33-g43 0 2 128 24 12 11
g33-g44 0 2 128 48722 2928 5291
g33-g45 0 2 128 43665 4648 4939
g33-g46 0 2 128 45 22 20
g33-g47 0 2 128 47 21 28
g33-g48 0 2 128 85 36 26
g33-g49 0 2 128 1705280 109389 211112
g33-g50 1 2 128 100000000 230 235
g34-g35 0 2 120 12 7 8
g34-g36 0 2 120 17 8 7
g34-g37 0 2 120 1239950 66853 128204
g34-g38 0 2 121 9 9 8
g34-g39 0 2 121 18 8 7
g34-g40 1 2 121 195 336 335
g34-g41 0 2 128 36 11 11
g34-g42 0 2 128 189 58 46
g34-g43 0 2 128 19 12 18
g34-g44 0 2 128 23 12 22
g34-g45 0 2 128 22 13 16
g34-g46 -1 2 128 100000000 100000000 100000000
g34-g47 -1 2 128 100000000 100000000 100000000
g34-g48 -1 2 128 100000000 100000000 100000000
g34-g49 -1 2 128 100000000 100000000 100000000
g34-g50 -1 2 128 100000000 100000000 100000000
g35-g37 1 2 120 1355 216 950
g35-g38 0 2 121 7 10 8
g35-g40 1 2 121 99239506 319 335
g35-g41 0 2 128 10 8 9
g35-g42 0 2 128 8 9 8
g35-g43 0 2 128 24 12 11
g35-g44 0 2 128 31 14 14
g35-g45 0 2 128 30 13 13
g35-g46 0 2 128 35 18 17
g35-g47 0 2 128 36 23 15
g35-g48 0 2 128 42 16 17
g35-g49 0 2 128 100000000 100000000 100000000
g35-g50 1 2 128 2016 215 239
g36-g37 1 2 120 466 20 37
g36-g38 0 2 121 5 9 9
g36-g40 1 2 121 335 314 377
g36-g41 0 2 128 16 11 11
g36-g42 0 2 128 10 9 9
g36-g43 0 2 128 19 13 13
g36-g44 0 2 128 53 17 14
g36-g45 0 2 128 37 13 13
g36-g46 0 2 128 56 27 23
g36-g47 0 2 128 56 26 21
g36-g48 0 2 128 91 37 30
g36-g49 0 2 128 31 13 15
g36-g50 -1 2 128 100000000 100000000 100000000
g37-g38 0 2 121 6 10 13
g37-g40 1 2 121 2364634 4141656 3891085
g37-g43 0 2 128 17 13 13
g37-g44 0 2 128 68 16 14
g37-g45 0 2 128 64 17 16
g37-g46 0 2 128 81 15 16
g37-g47 0 2 128 122 16 24
g37-g48 0 2 128 91 19 20
g37-g49 0 2 128 21 14 15
g37-g50 -1 2 128 100000000 100000000 100000000
g38-g40 1 2 121 942154 352 336
g38-g43 0 2 128 12 14 16
g38-g44 0 2 128 31 18 25
g38-g45 0 2 128 32 19 17
g38-g50 1 2 128 159 246 233
g39-g40 1 2 121 615272 329 375
g39-g41 0 2 128 11 7 9
g39-g42 0 2 128 19 8 8
g39-g43 0 2 128 38 13 13
g39-g44 0 2 128 46 13 14
g39-g45 0 2 128 37 13 14
g39-g46 0 2 128 62 35 31
g39-g47 0 2 128 101 39 27
g39-g48 0 2 128 140 50 40
g39-g49 -1 2 128 100000000 100000000 100000000
g39-g50 1 2 128 100000000 484 510
g4-g10 0 2 41 0 7 5
g4-g11 0 2 42 0 6 6
g4-g12 0 2 48 1 8 7
g4-g13 0 2 49 1 6 7
g4-g14 0 2 50 0 6 6
g4-g15 1 2 50 2 10 11
g4-g16 0 2 53 1 7 6
g4-g20 0 2 64 14 29 24
g4-g21 1 2 64 82 162 208
g4-g22 0 2 67 1 7 6
g4-g23 1 2 73 6 16 14
g4-g25 1 2 75 1 13 13
g4-g26 1 2 80 6 14 14
g4-g27 1 2 86 6 16 17
g4-g28 0 2 97 0 7 6
g4-g29 0 2 100 9 18 25
g4-g30 0 2 100 12 16 17
g4-g31 0 2 100 11 24 18
g4-g32 1 2 100 601 1392 1287
g4-g33 0 2 101 2 8 7
g4-g37 0 2 120 12 16 13
g4-g38 0 2 121 1 8 6
g4-g40 1 2 121 204 300 361
g4-g41 0 2 128 3 8 7
g4-g42 0 2 128 6 11 11
g4-g43 1 2 128 24 26 28
g4-g44 0 2 128 18 21 23
g4-g45 0 2 128 18 20 25
g4-g46 0 2 128 18 16 17
g4-g47 0 2 128 14 16 16
g4-g48 0 2 128 15 16 18
g4-g49 1 2 128 35 20 22
g4-g5 0 2 11 0 5 6
g4-g50 1 2 128 142 223 216
g4-g6 0 2 19 0 6 6
g4-g7 0 2 20 0 6 7
