instance sat family size vbbjdpd ttvbbjdpd32j ttvbbjdpd32g
si2-m4D-m1296.07 1 5 1296 447 128 124
si2-m4D-m1296.02 1 5 1296 936 202 217
si2-m4D-m1296.04 1 5 1296 703 200 195
si2-m4D-m1296.00 1 5 1296 550 127 118
si4-b03-m800.05 1 3 800 166 301 290
si4-b03-m800.00 1 3 800 168 304 300
si4-b03-m800.08 1 3 800 167 310 286
si4-b03-m800.09 1 3 800 201 316 297
si4-b03-m800.03 1 3 800 154 301 276
si4-b03-m800.02 1 3 800 150 321 294
si4-b03-m800.04 1 3 800 155 326 296
si4-b03-m800.01 1 3 800 207 283 279
si4-b03-m800.06 1 3 800 224 295 278
si4-b03-m800.07 1 3 800 150 299 286
si6-m4D-m1296.02 1 5 1296 799 191 194
si6-m4D-m1296.07 1 5 1296 853 429 434
si6-m4D-m1296.05 1 5 1296 609 227 188
si6-m4D-m1296.09 1 5 1296 867 484 474
si6-m4D-m1296.00 1 5 1296 803598 568 574
si6-m4D-m1296.08 1 5 1296 746 199 185
si6-m4D-m1296.04 1 5 1296 587 193 178
si6-m4D-m1296.06 1 5 1296 1847 500 508
si6-m4D-m1296.01 1 5 1296 1321 543 538
si6-m4D-m1296.03 1 5 1296 6841 798 761
si6-r001-m200.05 1 7 200 23 11 10
si6-r001-m200.09 1 7 200 16 11 10
si6-r001-m200.07 1 7 200 14 9 11
si6-r001-m200.02 1 7 200 16 11 11
si6-r001-m200.01 1 7 200 14 11 10
si6-r001-m200.00 1 7 200 14 12 10
si6-r001-m200.04 1 7 200 23 12 10
si6-r001-m200.06 1 7 200 14 11 11
si6-r001-m200.08 1 7 200 26 14 12
si6-r001-m200.03 1 7 200 16 10 11
si4-b06-m400.06 1 3 400 170 69 72
si4-b06-m400.07 1 3 400 109 68 71
si4-b06-m400.09 1 3 400 108 71 68
si4-b06-m400.01 1 3 400 146 72 76
si4-b06-m400.04 1 3 400 113 73 74
si4-b06-m400.03 1 3 400 109 71 74
si4-b06-m400.00 1 3 400 108 72 72
si4-b06-m400.05 1 3 400 127 73 73
si4-b06-m400.08 1 3 400 109 74 78
si4-b06-m400.02 1 3 400 138 76 74
si2-m4Dr6-m256.06 1 6 256 15 12 14
si2-m4Dr6-m256.05 1 6 256 23 10 10
si2-m4Dr6-m256.09 1 6 256 41 14 14
si2-m4Dr6-m256.00 1 6 256 29 16 15
si2-m4Dr6-m256.07 1 6 256 16 11 11
si2-m4Dr6-m256.04 1 6 256 26 13 15
si2-m4Dr6-m256.02 1 6 256 23 11 12
si2-m4Dr6-m256.01 1 6 256 21 10 12
si2-m4Dr6-m256.08 1 6 256 40 18 20
si2-m4Dr6-m256.03 1 6 256 15 12 12
si6-r01-m200.04 1 7 200 470 127 127
si6-r01-m200.08 1 7 200 399 122 126
si6-r01-m200.02 1 7 200 428 127 141
si6-r01-m200.09 1 7 200 1267 242 247
si6-r01-m200.07 1 7 200 388 133 127
si6-r01-m200.00 1 7 200 561 125 186
si6-r01-m200.01 1 7 200 1452 257 251
si6-r01-m200.03 1 7 200 477 123 284
si6-r01-m200.05 1 7 200 1271 260 213
si6-r01-m200.06 1 7 200 658 170 159
si2-b03m-m800.03 1 4 800 55 39 34
si2-b03m-m800.02 1 4 800 70 38 35
si2-b03m-m800.09 1 4 800 106 47 42
si2-b03m-m800.04 1 4 800 106 44 40
si2-b03m-m800.06 1 4 800 155 54 48
si2-b03m-m800.05 1 4 800 162 55 51
si2-b03m-m800.01 1 4 800 114 45 43
si2-b03m-m800.08 1 4 800 89 36 36
si2-b03m-m800.07 1 4 800 55 37 34
si2-b03m-m800.00 1 4 800 68 36 35
si2-r001-m200.06 1 7 200 5 11 11
si2-r001-m200.01 1 7 200 10 12 11
si2-r001-m200.02 1 7 200 11 13 15
si2-r001-m200.07 1 7 200 6 8 10
si2-r001-m200.04 1 7 200 6 14 14
si2-r001-m200.05 1 7 200 6 13 11
si2-r001-m200.09 1 7 200 7 13 13
si2-r001-m200.03 1 7 200 7 11 9
si2-r001-m200.00 1 7 200 5 11 14
si2-r001-m200.08 1 7 200 9 12 11
si6-b03m-m800.01 1 4 800 215 73 73
si6-b03m-m800.08 1 4 800 404 86 86
si6-b03m-m800.03 1 4 800 162 68 67
si6-b03m-m800.00 1 4 800 265 75 75
si6-b03m-m800.04 1 4 800 155 68 67
si6-b03m-m800.05 1 4 800 215 74 74
si6-b03m-m800.07 1 4 800 213 77 73
si6-b03m-m800.06 1 4 800 161 70 68
si6-b03m-m800.09 1 4 800 159 71 69
si6-b03m-m800.02 1 4 800 211 76 74
si4-r005-m200.00 1 7 200 136 28 40
si4-r005-m200.08 1 7 200 106 28 31
si4-r005-m200.02 1 7 200 131 30 30
si4-r005-m200.05 1 7 200 102 29 32
si4-r005-m200.06 1 7 200 108 26 24
si4-r005-m200.04 1 7 200 118 81 60
si4-r005-m200.07 1 7 200 138 45 36
si4-r005-m200.09 1 7 200 122 30 27
si4-r005-m200.01 1 7 200 110 26 42
si4-r005-m200.03 1 7 200 108 30 38
si6-b09m-m400.03 1 4 400 163 22 25
si6-b09m-m400.07 1 4 400 298 32 38
si6-b09m-m400.00 1 4 400 187 27 24
si6-b09m-m400.04 1 4 400 389 33 40
si6-b09m-m400.06 1 4 400 203 23 25
si6-b09m-m400.08 1 4 400 354 29 30
si6-b09m-m400.02 1 4 400 475 29 30
si6-b09m-m400.05 1 4 400 158 28 23
si6-b09m-m400.09 1 4 400 144 23 25
si6-b09m-m400.01 1 4 400 173 24 24
si2-b09-m200.08 1 3 200 24 12 12
si2-b09-m200.01 1 3 200 24 14 12
si2-b09-m200.06 1 3 200 26 13 15
si2-b09-m200.05 1 3 200 27 13 14
si2-b09-m200.00 1 3 200 36 16 13
si2-b09-m200.02 1 3 200 24 14 13
si2-b09-m200.03 1 3 200 25 14 13
si2-b09-m200.04 1 3 200 26 14 12
si2-b09-m200.09 1 3 200 32 15 13
si2-b09-m200.07 1 3 200 24 14 12
si6-r01-m600.02 1 7 600 71550 17353 21593
si6-r01-m600.06 1 7 600 62332 33004 37578
si6-r01-m600.09 1 7 600 28639 5500 6179
si6-r01-m600.08 1 7 600 208294 45284 43084
si6-r01-m600.05 1 7 600 46672 10429 10894
si6-r01-m600.07 1 7 600 246921 90377 93566
si6-r01-m600.03 1 7 600 121812 25824 27504
si6-r01-m600.00 1 7 600 49681 11876 8743
si6-r01-m600.01 1 7 600 620983 247914 235872
si6-r01-m600.04 1 7 600 428585 154514 133743
si2-b06-m200.02 1 3 200 20 10 12
si2-b06-m200.00 1 3 200 16 12 12
si2-b06-m200.01 1 3 200 15 11 11
si2-b06-m200.06 1 3 200 19 12 11
si2-b06-m200.09 1 3 200 15 11 12
si2-b06-m200.07 1 3 200 15 11 12
si2-b06-m200.04 1 3 200 22 11 11
si2-b06-m200.08 1 3 200 22 12 11
si2-b06-m200.03 1 3 200 23 12 12
si2-b06-m200.05 1 3 200 15 10 11
si6-m4Dr2-m1296.05 1 6 1296 714 184 179
si6-m4Dr2-m1296.09 1 6 1296 987 181 175
si6-m4Dr2-m1296.01 1 6 1296 1692 194 191
si6-m4Dr2-m1296.06 1 6 1296 1658 202 187
si6-m4Dr2-m1296.07 1 6 1296 855 176 176
si6-m4Dr2-m1296.03 1 6 1296 1265 209 190
si6-m4Dr2-m1296.04 1 6 1296 2142 230 230
si6-m4Dr2-m1296.00 1 6 1296 1586 199 193
si6-m4Dr2-m1296.08 1 6 1296 1451 185 186
si6-m4Dr2-m1296.02 1 6 1296 1208 204 191
si2-b09m-m800.09 1 4 800 182 40 39
si2-b09m-m800.07 1 4 800 357 46 50
si2-b09m-m800.00 1 4 800 211 40 38
si2-b09m-m800.04 1 4 800 298 47 52
si2-b09m-m800.02 1 4 800 430 53 50
si2-b09m-m800.05 1 4 800 209 41 37
si2-b09m-m800.03 1 4 800 237 47 39
si2-b09m-m800.08 1 4 800 459 49 46
si2-b09m-m800.06 1 4 800 233 42 37
si2-b09m-m800.01 1 4 800 216 40 40
si4-b03-m400.01 1 3 400 37 72 74
si4-b03-m400.02 1 3 400 38 73 72
si4-b03-m400.05 1 3 400 37 69 67
si4-b03-m400.07 1 3 400 44 70 68
si4-b03-m400.06 1 3 400 38 69 73
si4-b03-m400.00 1 3 400 37 71 73
si4-b03-m400.03 1 3 400 48 69 67
si4-b03-m400.04 1 3 400 59 68 73
si4-b03-m400.09 1 3 400 50 68 71
si4-b03-m400.08 1 3 400 39 69 76
si2-b03-m200.05 1 3 200 5 11 11
si2-b03-m200.09 1 3 200 5 10 11
si2-b03-m200.07 1 3 200 5 10 11
si2-b03-m200.01 1 3 200 9 12 10
si2-b03-m200.08 1 3 200 5 12 13
si2-b03-m200.02 1 3 200 5 13 11
si2-b03-m200.04 1 3 200 5 11 11
si2-b03-m200.03 1 3 200 5 11 12
si2-b03-m200.06 1 3 200 5 11 11
si2-b03-m200.00 1 3 200 6 11 12
si4-r005-m600.00 1 7 600 25908 14380 12703
si4-r005-m600.02 1 7 600 7626 7593 4478
si4-r005-m600.08 1 7 600 27655 19087 14497
si4-r005-m600.05 1 7 600 23797 15426 14864
si4-r005-m600.07 1 7 600 9172 7435 4202
si4-r005-m600.06 1 7 600 42391 15519 15421
si4-r005-m600.01 1 7 600 24886 16803 15883
si4-r005-m600.04 1 7 600 22183 14482 14856
si4-r005-m600.03 1 7 600 13869 7512 5284
si4-r005-m600.09 1 7 600 5729 1912 2244
si4-b09-m400.05 1 3 400 226 75 76
si4-b09-m400.03 1 3 400 210 71 79
si4-b09-m400.00 1 3 400 208 78 82
si4-b09-m400.07 1 3 400 203 77 73
si4-b09-m400.01 1 3 400 203 74 79
si4-b09-m400.06 1 3 400 204 77 73
si4-b09-m400.04 1 3 400 203 77 82
si4-b09-m400.02 1 3 400 339 70 79
si4-b09-m400.08 1 3 400 204 79 77
si4-b09-m400.09 1 3 400 215 73 76
si4-b06m-m400.06 1 4 400 76 20 21
si4-b06m-m400.03 1 4 400 45 17 16
si4-b06m-m400.01 1 4 400 140 23 26
si4-b06m-m400.08 1 4 400 78 21 21
si4-b06m-m400.05 1 4 400 107 24 24
si4-b06m-m400.07 1 4 400 54 17 17
si4-b06m-m400.00 1 4 400 72 20 19
si4-b06m-m400.04 1 4 400 50 16 16
si4-b06m-m400.09 1 4 400 64 19 19
si4-b06m-m400.02 1 4 400 111 23 24
si2-m4Dr2-m625.05 1 6 625 217 44 42
si2-m4Dr2-m625.00 1 6 625 136 53 47
si2-m4Dr2-m625.08 1 6 625 103 34 33
si2-m4Dr2-m625.09 1 6 625 109 35 32
si2-m4Dr2-m625.06 1 6 625 117 33 33
si2-m4Dr2-m625.04 1 6 625 68 27 26
si2-m4Dr2-m625.01 1 6 625 191 41 39
si2-m4Dr2-m625.03 1 6 625 68 29 26
si2-m4Dr2-m625.02 1 6 625 162 32 35
si2-m4Dr2-m625.07 1 6 625 57 29 28
si2-r005-m200.02 1 7 200 43 29 27
si2-r005-m200.01 1 7 200 322 144 59
si2-r005-m200.03 1 7 200 69 41 43
si2-r005-m200.05 1 7 200 12778 3233 854
si2-r005-m200.08 1 7 200 1572 165 198
si2-r005-m200.04 1 7 200 6543 464 671
si2-r005-m200.09 1 7 200 106 30 31
si2-r005-m200.06 1 7 200 168 60 47
si2-r005-m200.00 1 7 200 734 81 76
si2-r005-m200.07 1 7 200 70 34 41
si4-b03m-m400.03 1 4 400 26 17 17
si4-b03m-m400.09 1 4 400 42 18 18
si4-b03m-m400.08 1 4 400 43 17 18
si4-b03m-m400.04 1 4 400 28 16 17
si4-b03m-m400.00 1 4 400 45 17 17
si4-b03m-m400.01 1 4 400 42 20 20
si4-b03m-m400.07 1 4 400 48 17 17
si4-b03m-m400.02 1 4 400 41 19 19
si4-b03m-m400.06 1 4 400 39 19 21
si4-b03m-m400.05 1 4 400 44 16 17
si2-r01-m600.01 1 7 600 331982 311965 259635
si2-r01-m600.06 1 7 600 202663 273188 248064
si2-r01-m600.09 1 7 600 737980 318878 307893
si2-r01-m600.08 1 7 600 1245494 177058 333769
si2-r01-m600.04 1 7 600 1455349 301161 355620
si2-r01-m600.02 1 7 600 4182917 744813 691985
si2-r01-m600.00 1 7 600 26074160 1841799 1759706
si2-r01-m600.07 1 7 600 428607 144167 126934
si2-r01-m600.03 1 7 600 2664784 610647 572491
si2-r01-m600.05 1 7 600 243769 169776 130055
si4-m4Dr6-m256.01 1 6 256 24 12 13
si4-m4Dr6-m256.00 1 6 256 54 16 17
si4-m4Dr6-m256.05 1 6 256 30 12 13
si4-m4Dr6-m256.08 1 6 256 27 13 12
si4-m4Dr6-m256.03 1 6 256 65 15 14
si4-m4Dr6-m256.06 1 6 256 57 14 14
si4-m4Dr6-m256.09 1 6 256 28 12 11
si4-m4Dr6-m256.07 1 6 256 47 13 14
si4-m4Dr6-m256.02 1 6 256 62 15 15
si4-m4Dr6-m256.04 1 6 256 45 11 11
si2-b03m-m400.02 1 4 400 35 15 16
si2-b03m-m400.00 1 4 400 37 20 21
si2-b03m-m400.01 1 4 400 28 18 18
si2-b03m-m400.05 1 4 400 36 19 20
si2-b03m-m400.08 1 4 400 29 18 20
si2-b03m-m400.07 1 4 400 20 14 15
si2-b03m-m400.09 1 4 400 28 19 19
si2-b03m-m400.03 1 4 400 25 17 18
si2-b03m-m400.04 1 4 400 43 20 20
si2-b03m-m400.06 1 4 400 24 17 18
si2-b03m-m200.05 1 4 200 12 17 16
si2-b03m-m200.03 1 4 200 6 10 9
si2-b03m-m200.00 1 4 200 8 12 12
si2-b03m-m200.08 1 4 200 10 10 10
