instance family sat sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
si6_m4D_m1296.04 5 1 689 689 689 691 689 1689
si6_m4D_m1296.06 5 1 7106 7106 11892 11628 4597 16096
si6_m4D_m1296.01 5 1 3408 3474 6442 4517 2776 14369
si6_m4D_m1296.03 5 1 33066 38493 53620 109529 10104 34154
si6_r001_m200.05 7 1 121 121 121 2966 121 128
si6_r001_m200.09 7 1 124 124 125 294 123 124
si6_r001_m200.07 7 1 121 121 121 121 121 121
si6_r001_m200.02 7 1 123 123 125 159 123 125
si6_r001_m200.01 7 1 121 121 121 141 121 121
si6_r001_m200.00 7 1 121 121 121 122 121 121
si6_r001_m200.04 7 1 123 123 126 178 122 123
si6_r001_m200.06 7 1 121 121 121 124 121 121
si6_r001_m200.08 7 1 121 121 121 125 121 121
si6_r001_m200.03 7 1 121 121 121 157 121 121
si4_b06_m400.06 3 1 161 161 161 161 161 2270
si4_b06_m400.07 3 1 161 161 161 161 161 2236
si4_b06_m400.09 3 1 161 161 161 161 161 2244
si4_b06_m400.01 3 1 161 161 161 161 161 2077
si4_b06_m400.04 3 1 161 161 161 161 161 2267
si4_b06_m400.03 3 1 161 161 161 161 161 2241
si4_b06_m400.00 3 1 161 161 161 161 161 2361
si4_b06_m400.05 3 1 161 161 161 161 161 2465
si4_b06_m400.08 3 1 161 161 161 161 161 2409
si4_b06_m400.02 3 1 161 161 161 161 161 2840
si2_m4Dr6_m256.06 6 1 62 62 72 1925 62 91
si2_m4Dr6_m256.05 6 1 52 52 52 57 52 52
si2_m4Dr6_m256.09 6 1 53 53 53 23102 53 58
si2_m4Dr6_m256.00 6 1 72 72 90 2162 70 72
si2_m4Dr6_m256.07 6 1 52 52 52 61 52 52
si2_m4Dr6_m256.04 6 1 52 52 52 222 52 52
si2_m4Dr6_m256.02 6 1 62 62 85 2167 62 62
si2_m4Dr6_m256.01 6 1 52 52 52 990 52 52
si2_m4Dr6_m256.08 6 1 130 130 195 8662 114 130
si2_m4Dr6_m256.03 6 1 52 52 53 487 52 52
si6_r01_m200.04 7 1 939 939 45137 978 884 1009
si6_r01_m200.08 7 1 317 317 5888 321 301 1101
si6_r01_m200.02 7 1 1050 1050 14778 1152 843 5748
si6_r01_m200.09 7 1 21718 21718 168352 22837 19379 24860
si6_r01_m200.07 7 1 627 627 12066 636 581 2694
si6_r01_m200.00 7 1 6107 6124 77683 6371 4225 6034
si6_r01_m200.01 7 1 28146 28150 116341 29558 23674 37619
si6_r01_m200.03 7 1 2510 2510 27538 2623 1795 14902
si6_r01_m200.05 7 1 42222 42228 100194 45985 37409 44140
si6_r01_m200.06 7 1 9286 9286 37159 9807 6593 16825
si2_b03m_m800.03 4 1 161 161 161 169 161 161
si2_b03m_m800.02 4 1 161 161 161 166 161 161
si2_b03m_m800.09 4 1 161 161 161 475 161 161
si2_b03m_m800.04 4 1 161 161 161 164 161 161
si2_b03m_m800.06 4 1 161 161 161 174 161 161
si2_b03m_m800.05 4 1 161 161 161 164 161 161
si2_b03m_m800.01 4 1 161 161 161 161 161 161
si2_b03m_m800.08 4 1 161 161 161 168 161 161
si2_b03m_m800.07 4 1 161 161 161 161 161 161
si2_b03m_m800.00 4 1 161 161 161 163 161 161
si2_r001_m200.06 7 1 41 41 41 177969540 41 106
si2_r001_m200.01 7 1 52 52 55 84742 50 73
si2_r001_m200.02 7 1 342 575 572 3370735 340 154
si2_r001_m200.07 7 1 42 42 42 3611 42 45
si2_r001_m200.04 7 1 56 56 67 12023 57 83
si2_r001_m200.05 7 1 43 43 46 6306558 43 136
si2_r001_m200.09 7 1 42 42 42 165909017 42 153
si2_r001_m200.03 7 1 48 48 48 104053071 48 52
si2_r001_m200.00 7 1 43 43 44 54 43 85
si2_r001_m200.08 7 1 41 41 42 29485690122 41 65
si6_b03m_m800.01 4 1 481 481 481 482 481 481
si6_b03m_m800.08 4 1 481 481 481 488 481 481
si6_b03m_m800.03 4 1 481 481 481 600 481 481
si6_b03m_m800.00 4 1 481 481 481 489 481 481
si6_b03m_m800.04 4 1 481 481 481 489 481 481
si6_b03m_m800.05 4 1 481 481 481 484 481 481
si6_b03m_m800.07 4 1 481 481 481 489 481 481
si6_b03m_m800.06 4 1 481 481 481 499 481 481
si6_b03m_m800.09 4 1 481 481 481 483 481 481
si6_b03m_m800.02 4 1 481 481 481 483 481 481
si4_r005_m200.00 7 1 1147 1147 1398 3167 1109 6381
si4_r005_m200.08 7 1 803 803 1393 3752 791 1012
si4_r005_m200.02 7 1 2279 2282 4855 15014 2261 1555
si4_r005_m200.05 7 1 180 180 378 374 173 949
si4_r005_m200.06 7 1 370 372 2662 1139 352 397
si4_r005_m200.04 7 1 2317 2317 2870 5713 2232 20750
si4_r005_m200.07 7 1 3767 3767 5273 9148 3713 3799
si4_r005_m200.09 7 1 2563 2567 3476 5907 2509 1097
si4_r005_m200.01 7 1 128 128 136 296 128 4486
si4_r005_m200.03 7 1 442 442 584 1113 434 4987
si6_b09m_m400.03 4 1 241 241 241 241 241 241
si6_b09m_m400.07 4 1 241 241 241 241 241 241
si6_b09m_m400.00 4 1 241 241 241 241 241 241
si6_b09m_m400.04 4 1 241 241 241 241 241 241
si6_b09m_m400.06 4 1 241 241 241 241 241 241
si6_b09m_m400.08 4 1 241 241 241 241 241 241
si6_b09m_m400.02 4 1 241 241 241 241 241 241
si6_b09m_m400.05 4 1 241 241 241 241 241 241
si6_b09m_m400.09 4 1 241 241 241 241 241 241
si6_b09m_m400.01 4 1 241 241 241 241 241 241
si2_b09_m200.08 3 1 41 41 41 41 41 105
si2_b09_m200.01 3 1 41 41 41 41 41 57
si2_b09_m200.06 3 1 41 41 41 41 41 93
si2_b09_m200.05 3 1 41 41 41 41 41 93
si2_b09_m200.00 3 1 41 41 41 41 41 57
si2_b09_m200.02 3 1 41 41 41 41 41 75
si2_b09_m200.03 3 1 41 41 41 41 41 60
si2_b09_m200.04 3 1 41 41 41 41 41 52
si2_b09_m200.09 3 1 41 41 41 41 41 125
si2_b09_m200.07 3 1 41 41 41 41 41 75
si6_r01_m600.02 7 1 130977 130977 1741922 130977 112617 180041
si6_r01_m600.06 7 1 214231 214231 1615842 214231 170646 399420
si6_r01_m600.09 7 1 33303 33303 1270466 33303 28991 31956
si6_r01_m600.08 7 1 899841 899844 6227643 899841 492076 1048715
si6_r01_m600.05 7 1 122075 122075 1038187 122075 69105 99823
si6_r01_m600.07 7 1 994069 994069 4940873 994069 480739 1033616
si6_r01_m600.03 7 1 246316 246316 4475437 246316 201013 264206
si6_r01_m600.00 7 1 49055 49055 4655911 49055 40334 48251
si6_r01_m600.01 7 1 3250892 3250903 9519626 3250892 2326608 3682810
si6_r01_m600.04 7 1 2114165 2114166 8954955 2114165 1561121 2157760
si2_b06_m200.02 3 1 41 41 41 41 41 58
si2_b06_m200.00 3 1 41 41 41 41 41 74
si2_b06_m200.01 3 1 41 41 41 41 41 67
si2_b06_m200.06 3 1 41 41 41 41 41 82
si2_b06_m200.09 3 1 41 41 41 41 41 61
si2_b06_m200.07 3 1 41 41 41 41 41 84
si2_b06_m200.04 3 1 41 41 41 41 41 89
si2_b06_m200.08 3 1 41 41 41 41 41 70
si2_b06_m200.03 3 1 41 41 41 41 41 64
si2_b06_m200.05 3 1 41 41 41 41 41 96
si6_m4Dr2_m1296.05 6 1 778 778 778 778 778 778
si6_m4Dr2_m1296.09 6 1 778 778 778 778 778 778
si6_m4Dr2_m1296.01 6 1 778 778 778 778 778 778
si6_m4Dr2_m1296.06 6 1 778 778 778 778 778 778
si6_m4Dr2_m1296.07 6 1 778 778 778 778 778 778
si6_m4Dr2_m1296.03 6 1 778 778 778 778 778 778
si6_m4Dr2_m1296.04 6 1 778 778 778 778 778 778
si6_m4Dr2_m1296.00 6 1 778 778 778 778 778 778
si6_m4Dr2_m1296.08 6 1 778 778 778 780 778 778
si6_m4Dr2_m1296.02 6 1 778 778 778 778 778 778
si2_b09m_m800.09 4 1 161 161 164 164 161 161
si2_b09m_m800.07 4 1 161 161 164 162 161 161
si2_b09m_m800.00 4 1 161 161 164 163 161 161
si2_b09m_m800.04 4 1 161 161 163 161 161 161
si2_b09m_m800.02 4 1 161 161 163 164 161 161
si2_b09m_m800.05 4 1 161 161 168 164 161 161
si2_b09m_m800.03 4 1 161 161 161 748 161 163
si2_b09m_m800.08 4 1 161 161 161 252 161 161
si2_b09m_m800.06 4 1 161 161 161 165 161 161
si2_b09m_m800.01 4 1 161 161 163 161 161 161
si4_b03_m400.01 3 1 161 161 161 161 161 2218
si4_b03_m400.02 3 1 161 161 161 161 161 2403
si4_b03_m400.05 3 1 161 161 161 161 161 2056
si4_b03_m400.07 3 1 161 161 161 161 161 1926
si4_b03_m400.06 3 1 161 161 161 161 161 2367
si4_b03_m400.00 3 1 161 161 161 161 161 1894
si4_b03_m400.03 3 1 161 161 161 161 161 2065
si4_b03_m400.04 3 1 161 161 161 161 161 2156
si4_b03_m400.09 3 1 161 161 161 161 161 2294
si4_b03_m400.08 3 1 161 161 161 161 161 2286
si2_b03_m200.05 3 1 41 41 41 41 41 66
si2_b03_m200.09 3 1 41 41 41 41 41 61
si2_b03_m200.07 3 1 41 41 41 41 41 62
si2_b03_m200.01 3 1 41 41 41 41 41 121
si2_b03_m200.08 3 1 41 41 41 41 41 83
si2_b03_m200.02 3 1 41 41 41 41 41 104
si2_b03_m200.04 3 1 41 41 41 41 41 139
si2_b03_m200.03 3 1 41 41 41 41 41 84
si2_b03_m200.06 3 1 41 41 41 41 41 94
si2_b03_m200.00 3 1 41 41 41 41 41 74
si4_r005_m600.00 7 1 178500 178524 686616 203172 146538 171870
si4_r005_m600.02 7 1 41262 41263 58415 42483 40364 44318
si4_r005_m600.08 7 1 268218 268294 406035 286460 251536 261633
si4_r005_m600.05 7 1 237096 237111 320254 251959 224670 225387
si4_r005_m600.07 7 1 47746 47756 102927 50211 43749 52132
si4_r005_m600.06 7 1 468059 468143 786012 715312 381467 431661
si4_r005_m600.01 7 1 202918 203110 835725 226575 182589 241372
si4_r005_m600.04 7 1 178242 178245 348385 194943 150698 185049
si4_r005_m600.03 7 1 68906 68909 735197 73949 52385 68055
si4_r005_m600.09 7 1 14258 14274 33476 14415 12507 13467
si4_b09_m400.05 3 1 161 161 161 161 161 2141
si4_b09_m400.03 3 1 161 161 161 161 161 2974
si4_b09_m400.00 3 1 161 161 161 161 161 2747
si4_b09_m400.07 3 1 161 161 161 161 161 1769
si4_b09_m400.01 3 1 161 161 161 161 161 2145
si4_b09_m400.06 3 1 161 161 161 161 161 2078
si4_b09_m400.04 3 1 161 161 161 161 161 2386
si4_b09_m400.02 3 1 161 161 161 161 161 2533
si4_b09_m400.08 3 1 161 161 161 161 161 2030
si4_b09_m400.09 3 1 161 161 161 161 161 2132
si4_b06m_m400.06 4 1 161 161 161 178 161 161
si4_b06m_m400.03 4 1 161 161 161 161 161 161
si4_b06m_m400.01 4 1 161 161 161 161 161 161
si4_b06m_m400.08 4 1 161 161 161 161 161 161
si4_b06m_m400.05 4 1 161 161 161 161 161 161
si4_b06m_m400.07 4 1 161 161 161 162 161 161
si4_b06m_m400.00 4 1 161 161 161 161 161 161
si4_b06m_m400.04 4 1 161 161 161 161 161 161
si4_b06m_m400.09 4 1 161 161 161 165 161 161
si4_b06m_m400.02 4 1 161 161 161 161 161 161
si2_m4Dr2_m625.05 6 1 126 126 127 298 126 126
si2_m4Dr2_m625.00 6 1 263 272 275 36559 250 279
