instance sat family density lad ttvbbjdpd32g vbbjdpd vbbjdpdnosup vf2 abscon snd
si4-b06-m400.03 1 3 160 480.926000 74 109 9 0 1357.000 4262.000
si4-b06-m400.00 1 3 160 694.894000 72 108 14 0 1255.000 4497.000
si4-b06-m400.05 1 3 160 646.901000 73 127 15 0 1317.000 4072.000
si4-b06-m400.08 1 3 160 486.925000 78 109 9 0 1505.000 4508.000
si4-b06-m400.02 1 3 160 520.920000 74 138 11 0 1238.000 4635.000
si2-m4Dr6-m256.06 1 6 51 24.996000 14 15 8 0 812.000 1022.000
si2-m4Dr6-m256.05 1 6 51 26.995000 10 23 1 0 904.000 1186.000
si2-m4Dr6-m256.09 1 6 51 40.993000 14 41 85 0 660.00 1084.000
si2-m4Dr6-m256.00 1 6 51 23.996000 15 29 11 0 1070.00 1071.000
si2-m4Dr6-m256.07 1 6 51 17.997000 11 16 1 0 647.000 892.000
si2-m4Dr6-m256.04 1 6 51 38.994000 15 26 5 0 688.000 1427.000
si2-m4Dr6-m256.02 1 6 51 34.994000 12 23 13 0 819.000 1006.000
si2-m4Dr6-m256.01 1 6 51 18.997000 12 21 7 0 748.000 1029.000
si2-m4Dr6-m256.08 1 6 51 50.992000 20 40 35 0 755.000 1591.000
si2-m4Dr6-m256.03 1 6 51 29.995000 12 15 6 0 794.000 1168.000
si6-r01-m200.04 1 7 120 1357.793000 127 470 83 100000000 2520.00 4628.000
si6-r01-m200.08 1 7 120 3477.471000 126 399 30 100000000 3694.000 6814.000
si6-r01-m200.02 1 7 120 30169.413000 141 428 51 100000000 5574.000 25832.000
si6-r01-m200.09 1 7 120 13595.933000 247 1267 638 100000000 11496.000 84444.000
si6-r01-m200.07 1 7 120 8414.720000 127 388 26 100000000 6004.000 10454.000
si6-r01-m200.00 1 7 120 18056.255000 186 561 147 100000000 11665.000 32589.000
si6-r01-m200.01 1 7 120 97509.176000 251 1452 884 100000000 13467.000 6261.000
si6-r01-m200.03 1 7 120 59720.921000 284 477 97 100000000 42857.000 41559.000
si6-r01-m200.05 1 7 120 65967.971000 213 1271 785 100000000 18058.000 21602.000
si6-r01-m200.06 1 7 120 40179.891000 159 658 208 100000000 67317.000 28855.000
si2-b03m-m800.03 1 4 160 29.995000 34 55 13 0 1592.000 11171.000
si2-b03m-m800.02 1 4 160 24.996000 35 70 20 0 1670.00 14157.000
si2-b03m-m800.09 1 4 160 29.995000 42 106 19 0 1762.000 10991.000
si2-b03m-m800.04 1 4 160 31.995000 40 106 21 0 1618.000 11543.000
si2-b03m-m800.06 1 4 160 24.996000 48 155 17 1 1492.000 11027.000
si2-b03m-m800.05 1 4 160 29.995000 51 162 26 0 1908.000 11023.000
si2-b03m-m800.01 1 4 160 41.993000 43 114 24 0 1673.000 11357.000
si2-b03m-m800.08 1 4 160 29.995000 36 89 21 0 2007.000 10447.000
si2-b03m-m800.07 1 4 160 28.995000 34 55 32 0 1872.000 11625.000
si2-b03m-m800.00 1 4 160 27.995000 35 68 13 0 1553.000 12056.000
si2-r001-m200.06 1 7 40 11.998000 11 5 99089 12380978 648.000 679.000
si2-r001-m200.01 1 7 40 12.998000 11 10 262 100000000 608.000 734.000
si2-r001-m200.02 1 7 40 15.997000 15 11 4176 100000000 843.000 1193.000
si2-r001-m200.07 1 7 40 13.997000 10 6 8 1386937 730.00 877.000
si2-r001-m200.04 1 7 40 10.998000 14 6 21 3861944 717.000 681.000
si2-r001-m200.05 1 7 40 25.996000 11 6 4656 4657397 910.00 675.000
si2-r001-m200.09 1 7 40 14.997000 13 7 140025 100000000 734.000 748.000
si2-r001-m200.03 1 7 40 42.993000 9 7 105018 100000000 633.000 740.00
si2-r001-m200.00 1 7 40 13.997000 14 5 1 9191048 699.000 648.000
si2-r001-m200.08 1 7 40 19.996000 11 9 40586637 100000000 635.000 737.000
si6-b03m-m800.01 1 4 480 80.987000 73 215 47 4 7614.000 46578.000
si6-b03m-m800.08 1 4 480 104.984000 86 404 49 2 8968.000 35707.000
si6-b03m-m800.03 1 4 480 72.988000 67 162 70 3 7194.000 34564.000
si6-b03m-m800.00 1 4 480 86.986000 75 265 64 2 7654.000 40271.000
si6-b03m-m800.04 1 4 480 81.987000 67 155 64 2 9218.000 42981.000
si6-b03m-m800.05 1 4 480 78.987000 74 215 48 2 7614.000 37654.000
si6-b03m-m800.07 1 4 480 74.988000 73 213 47 4 7446.000 42465.000
si6-b03m-m800.06 1 4 480 111.982000 68 161 67 2 10020.00 37642.000
si6-b03m-m800.09 1 4 480 68.989000 69 159 47 4 8144.000 38856.000
si6-b03m-m800.02 1 4 480 70.989000 74 211 64 4 7797.000 38792.000
si4-r005-m200.00 1 7 80 31445.219000 40 136 25 100000000 6136.000 21068.000
si4-r005-m200.08 1 7 80 10172.453000 31 106 37 100000000 6176.000 10138.000
si4-r005-m200.02 1 7 80 7118.917000 30 131 132 100000000 5919.000 8239.000
si4-r005-m200.05 1 7 80 376.942000 32 102 10 100000000 1487.000 1877.000
si4-r005-m200.06 1 7 80 281.957000 24 108 18 100000000 1080.00 1598.000
si4-r005-m200.04 1 7 80 34754.716000 60 118 46 100000000 4004.000 15033.000
si4-r005-m200.07 1 7 80 13127.004000 36 138 83 100000000 11264.000 14999.000
si4-r005-m200.09 1 7 80 3845.415000 27 122 51 100000000 9653.000 6348.000
si4-r005-m200.01 1 7 80 10660.379000 42 110 8 100000000 7738.000 8892.000
si4-r005-m200.03 1 7 80 15114.702000 38 108 15 100000000 1079.000 2006.000
si6-b09m-m400.03 1 4 240 50.992000 25 163 12 1 2350.00 10516.000
si6-b09m-m400.07 1 4 240 49.992000 38 298 17 1 2203.000 8891.000
si6-b09m-m400.00 1 4 240 47.992000 24 187 13 1 2371.000 9565.000
si6-b09m-m400.04 1 4 240 61.990000 40 389 13 1 2962.000 8842.000
si6-b09m-m400.06 1 4 240 48.992000 25 203 13 1 2214.000 9157.000
si6-b09m-m400.08 1 4 240 46.992000 30 354 18 2 2396.000 10721.000
si6-b09m-m400.02 1 4 240 48.992000 30 475 13 1 2555.000 8945.000
si6-b09m-m400.05 1 4 240 45.993000 23 158 13 1 2552.000 8826.000
si6-b09m-m400.09 1 4 240 78.987000 25 144 12 1 3039.000 11350.00
si6-b09m-m400.01 1 4 240 62.990000 24 173 14 2 2391.000 10936.000
si2-b09-m200.08 1 3 40 62.990000 12 24 1 0 605.000 656.000
si2-b09-m200.01 1 3 40 52.991000 12 24 1 0 686.000 716.000
si2-b09-m200.06 1 3 40 75.988000 15 26 2 0 627.000 680.00
si2-b09-m200.05 1 3 40 66.989000 14 27 1 0 604.000 637.000
si2-b09-m200.00 1 3 40 56.991000 13 36 1 0 600.0 633.000
si2-b09-m200.02 1 3 40 48.992000 13 24 1 0 624.000 697.000
si2-b09-m200.03 1 3 40 82.987000 13 25 1 0 674.000 620.00
si2-b09-m200.04 1 3 40 49.992000 12 26 1 0 584.000 742.000
si2-b09-m200.09 1 3 40 82.987000 13 32 2 0 728.000 684.000
si2-b09-m200.07 1 3 40 66.989000 12 24 2 0 617.000 651.000
si6-r01-m600.02 1 7 360 55001268.536000 21593 71550 34758 100000000 100000000 100000000
si6-r01-m600.06 1 7 360 58524583.910000 37578 62332 28356 100000000 67195853.000 57639299.000
si6-r01-m600.09 1 7 360 20972790.651000 6179 28639 6916 100000000 100000000 100000000
