instance sat lad vbbjdpd vbbjdpdnosup vb ttvbbjdpd32g vf2 snd
si4_b06_m400.09 1 479.927000 108 9 96 68 0 4007.000
si4_b06_m400.01 1 503.923000 146 15 96 76 0 3951.000
si4_b06_m400.04 1 478.927000 113 11 95 74 0 4335.000
si4_b06_m400.03 1 480.926000 109 9 95 74 0 4262.000
si4_b06_m400.00 1 694.894000 108 14 95 72 0 4497.000
si4_b06_m400.05 1 646.901000 127 15 111 73 0 4072.000
si4_b06_m400.08 1 486.925000 109 9 98 78 0 4508.000
si4_b06_m400.02 1 520.920000 138 11 94 74 0 4635.000
si2_m4Dr6_m256.06 1 24.996000 15 8 19 14 0 1022.000
si2_m4Dr6_m256.05 1 26.995000 23 1 14 10 0 1186.000
si2_m4Dr6_m256.09 1 40.993000 41 85 26 14 0 1084.000
si2_m4Dr6_m256.00 1 23.996000 29 11 45 15 0 1071.000
si2_m4Dr6_m256.07 1 17.997000 16 1 16 11 0 892.000
si2_m4Dr6_m256.04 1 38.994000 26 5 24 15 0 1427.000
si2_m4Dr6_m256.02 1 34.994000 23 13 18 12 0 1006.000
si2_m4Dr6_m256.01 1 18.997000 21 7 22 12 0 1029.000
si2_m4Dr6_m256.08 1 50.992000 40 35 25 20 0 1591.000
si2_m4Dr6_m256.03 1 29.995000 15 6 23 12 0 1168.000
si6_r01_m200.04 1 1357.793000 470 83 732 127 100000000 4628.000
si6_r01_m200.08 1 3477.471000 399 30 416 126 100000000 6814.000
si6_r01_m200.02 1 30169.413000 428 51 409 141 100000000 25832.000
si6_r01_m200.09 1 13595.933000 1267 638 1014 247 100000000 84444.000
si6_r01_m200.07 1 8414.720000 388 26 392 127 100000000 10454.000
si6_r01_m200.00 1 18056.255000 561 147 434 186 100000000 32589.000
si6_r01_m200.01 1 97509.176000 1452 884 2154 251 100000000 6261.000
si6_r01_m200.03 1 59720.921000 477 97 490 284 100000000 41559.000
si6_r01_m200.05 1 65967.971000 1271 785 1152 213 100000000 21602.000
si6_r01_m200.06 1 40179.891000 658 208 1303 159 100000000 28855.000
si2_b03m_m800.03 1 29.995000 55 13 55 34 0 11171.000
si2_b03m_m800.02 1 24.996000 70 20 68 35 0 14157.000
si2_b03m_m800.09 1 29.995000 106 19 99 42 0 10991.000
si2_b03m_m800.04 1 31.995000 106 21 125 40 0 11543.000
si2_b03m_m800.06 1 24.996000 155 17 146 48 1 11027.000
si2_b03m_m800.05 1 29.995000 162 26 158 51 0 11023.000
si2_b03m_m800.01 1 41.993000 114 24 99 43 0 11357.000
si2_b03m_m800.08 1 29.995000 89 21 64 36 0 10447.000
si2_b03m_m800.07 1 28.995000 55 32 54 34 0 11625.000
si2_b03m_m800.00 1 27.995000 68 13 67 35 0 12056.000
si2_r001_m200.06 1 11.998000 5 99089 5 11 12380978 679.000
si2_r001_m200.01 1 12.998000 10 262 7 11 100000000 734.000
si2_r001_m200.02 1 15.997000 11 4176 8 15 100000000 1193.000
si2_r001_m200.07 1 13.997000 6 8 5 10 1386937 877.000
si2_r001_m200.04 1 10.998000 6 21 9 14 3861944 681.000
si2_r001_m200.05 1 25.996000 6 4656 5 11 4657397 675.000
si2_r001_m200.09 1 14.997000 7 140025 6 13 100000000 748.000
si2_r001_m200.03 1 42.993000 7 105018 9 9 100000000 740.00
si2_r001_m200.00 1 13.997000 5 1 5 14 9191048 648.000
si2_r001_m200.08 1 19.996000 9 40586637 5 11 100000000 737.000
si6_b03m_m800.01 1 80.987000 215 47 205 73 4 46578.000
si6_b03m_m800.08 1 104.984000 404 49 354 86 2 35707.000
si6_b03m_m800.03 1 72.988000 162 70 162 67 3 34564.000
si6_b03m_m800.00 1 86.986000 265 64 213 75 2 40271.000
si6_b03m_m800.04 1 81.987000 155 64 148 67 2 42981.000
si6_b03m_m800.05 1 78.987000 215 48 206 74 2 37654.000
si6_b03m_m800.07 1 74.988000 213 47 204 73 4 42465.000
si6_b03m_m800.06 1 111.982000 161 67 266 68 2 37642.000
si6_b03m_m800.09 1 68.989000 159 47 237 69 4 38856.000
si6_b03m_m800.02 1 70.989000 211 64 209 74 4 38792.000
si4_r005_m200.00 1 31445.219000 136 25 106 40 100000000 21068.000
si4_r005_m200.08 1 10172.453000 106 37 121 31 100000000 10138.000
si4_r005_m200.02 1 7118.917000 131 132 111 30 100000000 8239.000
si4_r005_m200.05 1 376.942000 102 10 89 32 100000000 1877.000
si4_r005_m200.06 1 281.957000 108 18 102 24 100000000 1598.000
si4_r005_m200.04 1 34754.716000 118 46 112 60 100000000 15033.000
si4_r005_m200.07 1 13127.004000 138 83 128 36 100000000 14999.000
si4_r005_m200.09 1 3845.415000 122 51 95 27 100000000 6348.000
si4_r005_m200.01 1 10660.379000 110 8 86 42 100000000 8892.000
si4_r005_m200.03 1 15114.702000 108 15 108 38 100000000 2006.000
si6_b09m_m400.03 1 50.992000 163 12 206 25 1 10516.000
